입주예정월,지역,사업유형,주소,아파트명,세대수
2026-08,강원,분양,강원특별자치도 강릉시 견소동  244-2,강릉 오션시티 아이파크,794
2026-12,강원,분양,강원특별자치도 강릉시 견소동  219-0,강릉 모아미래도 오션리버,561
2026-11,강원,분양,강원특별자치도 강릉시 송정동  산 77-3,강릉자이르네 디오션,228
2026-12,강원,분양,강원특별자치도 강릉시 주문진읍 주문리 762-5,강릉시 주문진 라일플로리스 벨벳 도시형생활주택,299
2027-04,강원,분양,강원특별자치도 강릉시 포남동  1153-0,강릉 유블레스 리센트,226
2027-04,강원,분양,강원특별자치도 강릉시 회산동  536-0,강릉 아테라,329
2026-01,강원,분양,강원특별자치도 고성군 토성면 아야진리 산 21-0,아야진 라메르 데시앙,811
2027-10,강원,임대,강원특별자치도 동해시 천곡동  산 6번지,동해천곡1(고령자)행복주택,200
2027-10,강원,임대,강원특별자치도 동해시 천곡동  산 6번지,동해천곡1(고령자)영구임대,202
2026-05,강원,분양,강원특별자치도 속초시 금호동  622-40,힐스테이트 속초,925
2027-07,강원,분양,강원특별자치도 속초시 금호동  617-21,더샵 속초프라임뷰,1024
2026-03,강원,분양,강원특별자치도 원주시 원동  129-1,두산위브더제니스 센트럴 원주,1167
2026-06,강원,분양,강원특별자치도 원주시 단구동  0-0,원주자이 센트로,970
2027-02,강원,분양,강원특별자치도 원주시 단구동  531-8,원주 모아엘가 그랑데,353
2027-11,강원,분양,강원특별자치도 원주시 원동  274-40,원주 푸르지오 더 센트럴,1502
2027-08,강원,임대,강원특별자치도 정선군 사북읍 사북6길 8,정선사북 국민임대주택,30
2027-08,강원,임대,강원특별자치도 정선군 사북읍 사북6길 8,정선사북 행복주택,120
2026-08,강원,분양,강원특별자치도 춘천시 삼천동  22-2,춘천 레이크시티 아이파크,874
2026-09,강원,분양,강원특별자치도 춘천시 동면 만천리 785-0,춘천 금호어울림 더 퍼스트,543
2027-06,강원,분양,강원특별자치도 춘천시 동면 만천리 768-7,춘천 아테라 에듀파크,477
2026-09,강원,분양,강원특별자치도 홍천군 홍천읍 갈마곡리 23-26,대상 웰라움 홍천,200
2026-10,강원,분양,강원특별자치도 홍천군 홍천읍 희망리 396-9,스위트클래스 더 스카이 45,264
2026-12,강원,분양,강원특별자치도 홍천군 홍천읍 갈마곡리 436-1,홍천 에듀포레 휴티스,239
2027-03,강원,임대,강원특별자치도 인제군 서화면 천도리 0-0,인제서화,80
2027-09,경기,분양,경기도 가평군 가평읍 달전리 284-7,자라섬 수자인 리버페스타,381
2027-09,경기,분양,경기도 가평군 청평면 청평리 산 81-18,청평 수자인 더퍼스트,551
2027-12,경기,분양,경기도 고양시 덕양구 용두동  827-0,고양창릉지구 S-6 공공분양,430
2027-04,경기,분양,경기도 고양시 덕양구 주교동   559-1,고양더샵포레나,2601
2027-05,경기,분양,경기도 고양시 덕양구 행신동   173-1,행신한신더휴,272
2027-04,경기,분양,경기도 고양시 일산동구 식사동  1110-0,휴먼빌 일산 클래스원,529
2026-04,경기,임대,경기도 고양시 일산동구 장항동  0-0,신혼희망타운(행복주택),279
2027-05,경기,분양,경기도 고양시 일산동구 장항동  529-26,고양 장항 아테라(장항지구 B-3),760
2026-12,경기,분양,경기도 고양시 일산동구 장항동  658-65,고양장항 제일풍경채,1184
2027-03,경기,분양,경기도 고양시 일산동구 풍동  822-0,e편한세상 일산 메이포레 1단지,321
2027-03,경기,분양,경기도 고양시 일산동구 풍동  852-0,e편한세상 일산 메이포레 3단지,457
2026-04,경기,분양,경기도 고양시 장항동 663-106,고양장항A2(신혼희망타운),371
2026-12,경기,분양,경기도 고양시 일산서구 일산동   960-16,일산1-2,308
2026-05,경기,임대,경기도 과천시 갈현동  0-0,과천지식정보타운 S-11BL 행복주택(리츠),846
2027-05,경기,분양,경기도 과천시 갈현동 822,과천 디에트르 퍼스티지(S2BL),740
2027-10,경기,분양,경기도 과천시 별양동  7-0,프레스티어자이,1445
2027-10,경기,분양,경기도 광명시 광명동  275-3,광명 롯데캐슬 시그니처,1509
2027-07,경기,분양,경기도 광명시 광명동  78-38,광명자이힐스테이트SKVIEW,2878
2027-11,경기,분양,경기도 광명시 소하동  0-0,광명 유승한내들 라포레,444
2026-02,경기,분양,경기도 광명시 소하동  893-3,광명 소하 신원아침도시1*,169
2026-11,경기,임대,경기도 광명시 소하동 1342-5,광명소하 행복주택(일자리연계형 지원주택),152
2027-08,경기,분양,경기도 광주시 곤지암읍 곤지암리 636-0,곤지암역 제일풍경채,565
2027-05,경기,분양,경기도 광주시 곤지암읍 곤지암리 637-0,곤지암역 센트럴 아이파크,347
2027-05,경기,분양,경기도 광주시 곤지암읍 신대리 16-1,힐스테이트 광주곤지암역,635
2026-06,경기,분양,경기도 광주시 송정동  산 28-4,광주 송정 중흥S-클래스 파크뷰,840
2026-08,경기,임대,경기도 광주시 역동  417-2,광주역세권청년혁신타운,316
2026-04,경기,분양,경기도 광주시 역동  산 1-39,광주 더파크 비스타 데시앙,1690
2027-08,경기,분양,경기도 광주시 장지동  695-14,광주태전 경남아너스빌 리미티드,404
2027-11,경기,분양,경기도 구리시 수택동  266-2,구리 한양립스,268
2026-03,경기,분양,경기도 구리시 인창동  280-3,구리역 롯데캐슬 시그니처,1180
2027-04,경기,분양,경기도 구리시 인창동  515-1,인창센트레빌인더포레,244
2027-12,경기,분양,경기도 군포시 둔대동  57-0,군포대야미 대방 디에트르 시그니처 B3BL,640
2027-12,경기,분양,경기도 김포시 북변동  329-2,김포 북변 우미 린 파크리브,1200
2027-04,경기,분양,경기도 남양주시 다산동 6111,다산지금A3(공공임대),518
2027-05,경기,분양,경기도 남양주시 퇴계원읍 퇴계원리 142-27 ,퇴계원경남아너스빌아파트,227
2027-04,경기,분양,경기도 성남시 분당구 구미동  220-0,더샵 분당센트로,647
2027-11,경기,분양,경기도 성남시 분당구 정자동  88-0,더샵 분당티에르원,873
2027-01,경기,임대,경기도 성남시 수정구 금토동  0-0,성남금토 A-2블록 영구임대주택,195
2027-02,경기,분양,경기도 성남시 수정구 금토동  0-0,판교테크노밸리 중흥S-클래스,317
2027-11,경기,분양,경기도 성남시 수정구 금토동  0-0,성남금토 A-4블록 신혼희망타운(공공분양),766
2027-09,경기,분양,경기도 성남시 수정구 복정동  0-0,엘리프 남위례역 에듀포레,510
2027-12,경기,분양,경기도 성남시 수정구 산성동  1336-0,산성역 헤리스톤,3487
2026-10,경기,임대,경기도 성남시 수정구 신촌동  0-0,성남신촌 A1블록 통합공공임대주택,227
2026-05,경기,분양,경기도 성남시 수정구 신촌동  0-0,엘리프 성남신촌,320
2026-12,경기,임대,경기도 성남시 수정구 창곡동  0-0,위례 A2-7블록 신혼희망타운 행복주택,219
2026-12,경기,분양,경기도 성남시 수정구 창곡동  0-0,위례지구 A2-7블록 신혼희망타운,440
2027-12,경기,분양,경기도 성남시 중원구 중앙동  912-0,해링턴 스퀘어 신흥역,1972
2027-06,경기,임대,경기도 수원시 권선구 당수동  0-0,신혼희망타운 행복주택,242
2027-06,경기,분양,경기도 수원시 권선구 당수동  0-0,신혼희망타운(공공분양),484
2026-08,경기,조합,경기도 수원시 권선구 세류동  817-72,매교역 팰루시드,2178
2026-02,경기,분양,경기도 수원시 권선구 오목천동  319-1,오목천역 더리브,201
2027-03,경기,분양,경기도 수원시 영통구 영통동  961-11,영통자이 센트럴파크,580
2027-02,경기,분양,경기도 수원시 장안구 연무동  58-1,서광교 한라비발디 레이크포레,285
2027-09,경기,분양,경기도 수원시 장안구 이목동 511-1 일원,북수원이목지구 대방 디에트르 더 리체Ⅰ(A4BL),768
2026-02,경기,임대,경기도 수원시 장안구 정자동   435-1 외 1,정자동주상복합,92
2027-10,경기,분양,경기도 수원시 팔달구 우만동  436-0,효성해링턴 플레이스 동수원,162
2026-12,경기,임대,경기도 수원시 팔달구 인계동   754-1,수원 PEER,216
2026-06,경기,조합,경기도 시흥시 대야동  284,대야3(시흥영남2차아파트) ,1026
2027-07,경기,분양,경기도 시흥시 은행동  248-30,시흥 롯데캐슬 시그니처(1블럭),1230
2027-07,경기,분양,경기도 시흥시 은행동  288-1,시흥 롯데캐슬 시그니처(2블럭),903
2026-10,경기,분양,경기도 시흥시 은행동  289-31,신극동아파트 가로주택,218
2026-03,경기,임대,경기도 시흥시 정왕동  1799-2,시흥정왕 1블록 행복주택,470
2026-05,경기,분양,경기도 시흥시 정왕동  2715-0,시화MTV 푸르지오 디오션,400
2027-06,경기,분양,경기도 시흥시 정왕동  2716-0,힐스테이트 더웨이브시티,851
2027-03,경기,분양,경기도 고양시 일산동구 풍동  870,e편한세상 일산 메이포레 2단지,564
2026-01,경기,분양,경기도 광명시 소하동  883-18,광명 소하 신원아침도시2,203
2026-01,경기,분양,경기도 광명시 철산동  105-0,철산자이 브리에르,1490
2026-01,경기,분양,경기도 남양주시 화도읍 마석우리 251-0,마석역 극동스타클래스 더 퍼스트,138
2026-01,경기,조합,경기도 수원시 팔달구 지동  349-1,수원성 중흥S-클래스,1154
2026-10,경기,분양,경기도 부천시 소사구 괴안동   130-13,범안동130가로주택사업,59
2027-01,경기,분양,경기도 부천시 소사구 괴안동  0-0,부천아테라자이(부천괴안지구 B-2),200
2026-02,경기,분양,경기도 부천시 소사구 괴안동  91-2,역곡역 아테움 스위첸,189
2027-08,경기,분양,경기도 부천시 소사구 소사본동  134-0,소사역 롯데캐슬 더 뉴엘,983
2026-10,경기,분양,경기도 부천시 소사구 송내동  338-0,송내역 푸르지오 센트비엔,1045
2027-05,경기,분양,경기도 부천시 오정구,원종 휴먼빌 클라츠,255
