연월,시도,특별공급 공급세대수,특별공급 접수건수,특별공급 경쟁률,일반공급 공급세대수,일반공급 접수건수,일반공급 경쟁률
2020-02,서울,710,16106,22.68,252,36999,146.82
2020-02,부산,367,484,1.32,489,16588,33.92
2020-02,대구,262,2710,10.34,394,55710,141.40
2020-02,인천,251,100,(△151),800,15833,19.79
2020-02,울산,0,0,0.00,69,20,(△49)
2020-02,경기,2102,27350,13.01,2733,234575,85.83
2020-02,강원,237,29,(△208),491,497,1.01
2020-02,충남,93,62,(△31),589,2594,4.40
2020-02,전남,211,7,(△204),287,619,2.16
2020-02,경북,61,33,(△28),125,1120,8.96
2020-02,제주,85,10,(△75),127,145,1.14
2020-03,서울,0,0,0.00,67,8358,124.75
2020-03,부산,64,796,12.44,88,19928,226.45
2020-03,대구,360,918,2.55,522,22703,43.49
2020-03,인천,1251,6458,5.16,1950,112230,57.55
2020-03,경기,819,4519,5.52,1371,37160,27.10
2020-03,강원,220,0,(△220),129,6,(△123)
2020-03,충북,414,15,(△399),691,2637,3.82
2020-03,전남,584,777,1.33,1017,33744,33.18
2020-03,제주,0,0,0.00,48,5,(△43)
2020-04,서울,192,9626,50.14,346,28295,81.78
2020-04,부산,409,351,(△58),613,11646,19.00
2020-04,대구,610,1274,2.09,1456,30840,21.18
2020-04,인천,322,1125,3.49,308,15842,51.44
2020-04,대전,632,856,1.35,717,13744,19.17
2020-04,경기,2160,9680,4.48,3118,85342,27.37
2020-04,강원,20,0,(△20),51,13,(△38)
2020-04,충남,609,138,(△471),945,3349,3.54
2020-04,전북,151,105,(△46),169,8713,51.56
2020-04,전남,152,178,1.17,389,6519,16.76
2020-04,경북,0,0,0.00,68,7,(△61)
2020-04,경남,34,0,(△34),63,78,1.24
2020-05,서울,31,7876,254.06,898,53280,59.33
2020-05,부산,457,1770,3.87,664,43621,65.69
2020-05,대구,1347,1858,1.38,2006,61641,30.73
2020-05,인천,2815,9285,3.30,4018,178571,44.44
2020-05,광주,490,1849,3.77,832,36047,43.33
2020-05,대전,446,1576,3.53,509,28699,56.38
2020-05,울산,1102,400,(△702),1585,18613,11.74
2020-05,경기,2430,17864,7.35,5005,170421,34.05
2020-05,강원,188,158,(△30),266,6127,23.03
2020-05,충북,13,0,(△13),19,6,(△13)
2020-05,전북,158,29,(△129),234,1245,5.32
2020-05,전남,359,648,1.81,487,20917,42.95
2020-05,경북,60,13,(△47),106,291,2.75
2020-05,경남,645,237,(△408),920,5659,6.15
2020-05,제주,0,0,0.00,98,50,(△48)
2020-06,서울,914,18135,19.84,633,39279,62.05
2020-06,부산,807,1576,1.95,1125,52029,46.25
2020-06,대구,137,21,(△116),183,1438,7.86
2020-06,인천,1419,3743,2.64,2014,55149,27.38
2020-06,광주,184,636,3.46,244,12793,52.43
2020-06,울산,124,552,4.45,171,12854,75.17
2020-06,경기,2477,11297,4.56,3720,48953,13.16
2020-06,강원,18,0,(△18),74,8,(△66)
2020-06,충북,235,128,(△107),327,3216,9.83
2020-06,충남,387,265,(△122),563,6223,11.05
2020-06,전북,94,24,(△70),292,709,2.43
2020-06,전남,72,3,(△69),91,100,1.10
2020-06,경남,896,222,(△674),1188,9830,8.27
2020-06,제주,0,0,0.00,64,6,(△58)
2020-07,서울,707,29826,42.19,3000,142657,47.55
2020-07,부산,926,3319,3.58,1445,76052,52.63
2020-07,대구,3724,4767,1.28,5205,139740,26.85
2020-07,인천,1018,379,(△639),1176,6995,5.95
2020-07,울산,196,99,(△97),291,2846,9.78
2020-07,경기,4711,27645,5.87,5135,108536,21.14
2020-07,강원,383,152,(△231),1400,7967,5.69
2020-07,충남,1338,3881,2.90,1897,82898,43.70
2020-07,전남,477,38,(△439),637,1646,2.58
2020-07,경북,593,136,(△457),811,2174,2.68
2020-07,경남,914,341,(△573),1290,9484,7.35
2020-07,제주,0,0,0.00,79,25,(△54)
2020-08,서울,654,41953,64.15,1006,119322,118.61
2020-08,부산,36,316,8.78,56,6036,107.79
2020-08,대구,746,672,(△74),1020,26907,26.38
2020-08,광주,116,15,(△101),154,363,2.36
2020-08,울산,219,798,3.64,338,14667,43.39
2020-08,경기,3273,5174,1.58,4829,40174,8.32
2020-08,강원,70,5,(△65),106,210,1.98
2020-08,충남,769,1059,1.38,1079,27266,25.27
2020-08,전남,228,423,1.86,385,18831,48.91
2020-08,경북,498,11,(△487),128,96,(△32)
2020-08,경남,28,1,(△27),56,29,(△27)
2020-09,서울,0,0,0.00,99,939,9.48
2020-09,부산,1183,11010,9.31,1576,190117,120.63
2020-09,대구,423,115,(△308),701,4807,6.86
2020-09,광주,765,917,1.20,1014,16899,16.67
2020-09,대전,745,3528,4.74,1002,16645,16.61
2020-09,울산,721,2180,3.02,1033,45140,43.70
2020-09,경기,2242,6496,2.90,2850,35136,12.33
2020-09,충남,720,73,(△647),978,1659,1.70
2020-09,전북,257,107,(△150),348,2531,7.27
2020-09,전남,32,5,(△27),56,236,4.21
2020-09,경북,41,0,(△41),73,29,(△44)
2020-09,경남,119,4,(△115),58,52,(△6)
2020-10,서울,11,5053,459.36,116,26410,227.67
2020-10,부산,229,1508,6.59,286,33715,117.88
2020-10,대구,506,236,(△270),510,6872,13.47
2020-10,대전,950,10835,11.41,166,25484,153.52
2020-10,세종,289,2217,7.67,169,25910,153.31
2020-10,경기,4336,147566,34.03,5348,718747,134.40
2020-10,충남,1237,58,(△1179),1207,2619,2.17
2020-10,전북,798,155,(△643),964,4914,5.10
2020-10,전남,225,621,2.76,407,21920,53.86
2020-10,경북,643,1111,1.73,671,18568,27.67
2020-10,경남,649,79,(△570),757,1581,2.09
2020-10,제주,0,0,0.00,96,152,1.58
2020-11,서울,1433,30335,21.17,342,81710,238.92
2020-11,부산,108,4061,37.60,109,60824,558.02
2020-11,대구,521,518,(△3),1092,20909,19.15
2020-11,대전,499,1749,3.51,499,7637,15.30
2020-11,경기,5260,26499,5.04,5788,68795,11.89
2020-11,강원,526,6,(△520),381,71,(△310)
2020-11,충북,1254,6,(△1248),1270,110,(△1160)
2020-11,충남,357,457,1.28,314,12224,38.93
2020-11,전북,48,81,1.69,116,3838,33.09
2020-11,전남,240,61,(△179),542,4463,8.23
2020-11,경북,1424,2966,2.08,2031,97422,47.97
2020-12,서울,351,20380,58.06,458,117035,255.53
2020-12,부산,619,783,1.26,682,15456,22.66
2020-12,대구,917,1298,1.42,1158,28420,24.54
2020-12,인천,1985,9981,5.03,2057,30970,15.06
2020-12,광주,637,2815,4.42,672,50754,75.53
2020-12,경기,1688,40185,23.81,1876,98575,52.55
2020-12,강원,431,547,1.27,487,7260,14.91
2020-12,충북,1079,4309,3.99,1329,26488,19.93
2020-12,충남,2242,3247,1.45,2437,69036,28.33
2020-12,전북,1053,279,(△774),805,6620,8.22
2020-12,전남,300,54,(△246),306,1758,5.75
2020-12,경북,2591,862,(△1729),2408,18859,7.83
2020-12,경남,23,0,(△23),55,34,(△21)
2021-01,부산,3,1,(△2),34,191,5.62
2021-01,대구,532,305,(△227),523,5020,9.60
2021-01,인천,1611,5201,3.23,2068,36536,17.67
2021-01,광주,24,98,4.08,62,886,14.29
2021-01,세종,974,13382,13.74,376,71464,190.06
2021-01,경기,2220,7733,3.48,2141,41424,19.35
2021-01,충북,261,0,(△261),319,24,(△295)
2021-01,충남,0,0,0.00,122,13,(△109)
2021-01,전북,177,6,(△171),201,82,(△119)
2021-01,전남,109,9,(△100),134,242,1.81
2021-01,경남,0,0,0.00,130,35,(△95)
2021-02,서울,313,25854,82.60,518,83688,161.56
2021-02,부산,51,792,15.53,54,4418,81.81
2021-02,대구,488,473,(△15),643,7501,11.67
2021-02,인천,46,584,12.70,71,4308,60.68
2021-02,대전,209,1445,6.91,209,4986,23.86
2021-02,울산,66,153,2.32,70,1800,25.71
2021-02,경기,3750,11240,3.00,3904,51326,13.15
2021-02,충북,743,2366,3.18,568,9808,17.27
2021-02,충남,482,76,(△406),473,49422,104.49
2021-02,전북,309,1868,6.05,999,27164,27.19
2021-02,전남,156,8,(△148),72,123,1.71
2021-02,경북,413,92,(△321),394,1524,3.87
2021-03,서울,16,1983,123.94,18,3922,217.89
2021-03,부산,90,1419,15.77,130,7837,60.28
2021-03,대구,1993,1292,(△701),2553,27738,10.86
2021-03,인천,460,2054,4.47,621,8091,13.03
2021-03,광주,267,1074,4.02,321,7263,22.63
2021-03,울산,486,299,(△187),438,3716,8.48
2021-03,경기,2038,13744,6.74,2513,58243,23.18
2021-03,강원,752,138,(△614),954,2596,2.72
2021-03,충남,2352,2141,(△211),2387,41762,17.50
2021-03,경남,1883,2001,1.06,1788,25732,14.39
2021-03,제주,35,97,2.77,157,1298,8.27
2021-04,서울,43,1591,37.00,69,3541,51.32
2021-04,부산,75,15,(△60),159,713,4.48
2021-04,대구,664,877,1.32,1066,11347,10.64
2021-04,인천,2693,17121,6.36,1654,47116,28.49
2021-04,대전,168,1008,6.00,168,4873,29.01
2021-04,울산,657,796,1.21,425,9059,21.32
2021-04,경기,3780,50235,13.29,2348,273396,116.44
2021-04,강원,81,7,(△74),80,87,1.09
2021-04,충북,353,259,(△94),377,2370,6.29
2021-04,충남,940,1560,1.66,1044,34217,32.77
2021-04,전남,299,118,(△181),548,1794,3.27
2021-04,경북,985,394,(△591),1207,10915,9.04
2021-04,경남,1278,1599,1.25,2145,35224,16.42
2021-04,제주,0,0,0.00,204,2802,13.74
2021-05,서울,140,1159,8.28,240,6981,29.09
2021-05,대구,304,343,1.13,304,3849,12.66
2021-05,인천,1107,1545,1.40,554,7704,13.91
2021-05,광주,50,116,2.32,53,781,14.74
2021-05,대전,306,2731,8.92,307,8094,26.36
2021-05,경기,1896,20735,10.94,2053,46109,22.46
2021-05,강원,204,26,(△178),227,455,2.00
2021-05,충북,2073,3172,1.53,528,7319,13.86
2021-05,충남,268,504,1.88,363,9961,27.44
2021-05,전북,407,1609,3.95,571,27521,48.20
2021-05,경북,354,34,(△320),260,668,2.57
2021-05,경남,1377,351,(△1026),1497,11391,7.61
2021-06,서울,0,0,0.00,224,36116,161.23
2021-06,부산,436,7172,16.45,439,37125,84.57
2021-06,대구,1118,262,(△856),1226,3920,3.20
2021-06,인천,552,3145,5.70,676,11592,17.15
2021-06,대전,298,2164,7.26,300,7612,25.37
2021-06,울산,98,298,3.04,86,1749,20.34
2021-06,경기,2840,16590,5.84,2951,45785,15.52
2021-06,강원,379,186,(△193),460,3715,8.08
2021-06,충북,558,270,(△288),524,3068,5.85
2021-06,충남,476,311,(△165),228,3701,16.23
2021-06,전북,674,94,(△580),322,1069,3.32
2021-06,경북,1370,561,(△809),1473,17297,11.74
2021-06,경남,27,2,(△25),67,60,(△7)
2021-07,서울,28,648,23.14,171,4324,25.29
2021-07,부산,21,46,2.19,55,403,7.33
2021-07,대구,1061,530,(△531),1195,7163,5.99
2021-07,인천,404,7776,19.25,408,20036,49.11
2021-07,광주,25,49,1.96,24,324,13.50
2021-07,울산,62,6,(△56),57,224,3.93
2021-07,세종,244,22759,93.27,1106,220843,199.68
2021-07,경기,2238,15483,6.92,2343,44093,18.82
2021-07,강원,548,2486,4.54,757,35625,47.06
2021-07,충북,99,889,8.98,142,4712,33.18
2021-07,충남,2051,1733,(△318),1835,21631,11.79
2021-07,전북,221,335,1.52,233,8609,36.95
2021-07,전남,309,122,(△187),234,1740,7.44
2021-07,경북,608,367,(△241),697,10444,14.98
2021-07,경남,660,3181,4.82,656,37096,56.55
2021-07,제주,0,0,0.00,60,45,(△15)
2021-08,서울,30,922,30.73,37,2288,61.84
2021-08,부산,66,734,11.12,102,4280,41.96
2021-08,대구,344,108,(△236),356,1573,4.42
2021-08,인천,84,2000,23.81,96,4070,42.40
2021-08,광주,239,1306,5.46,425,9705,22.84
2021-08,경기,1503,24946,16.60,1356,60908,44.92
2021-08,충남,1651,1062,(△589),1331,18058,13.57
2021-08,전북,95,50,(△45),173,652,3.77
2021-08,전남,745,191,(△554),1046,2779,2.66
2021-08,경남,821,451,(△370),873,10161,11.64
2021-09,서울,204,34021,166.77,389,131447,337.91
2021-09,부산,308,1387,4.50,338,6835,20.22
2021-09,대구,470,38,(△432),471,539,1.14
2021-09,인천,1173,5397,4.60,654,18734,28.65
2021-09,대전,1010,3047,3.02,577,9907,17.17
2021-09,경기,2948,39825,13.51,3181,74106,23.30
2021-09,강원,1224,2068,1.69,980,32085,32.74
2021-09,충북,360,2100,5.83,386,11348,29.40
2021-09,전남,367,97,(△270),384,1628,4.24
2021-09,경북,1150,149,(△1001),1130,4043,3.58
2021-09,경남,745,2153,2.89,695,37798,54.39
2021-09,제주,0,0,0.00,111,404,3.64
2021-10,부산,121,474,3.92,543,12181,22.43
2021-10,대구,345,124,(△221),368,1282,3.48
2021-10,인천,57,550,9.65,39,2243,57.51
2021-10,광주,148,669,4.52,172,3843,22.34
