주택관리번호,공고번호,모델번호,주택형,공급세대수,순위,거주코드,거주지역,접수건수,경쟁률
"2025000047","2025000047","01","084.9961A",286,1,"01","해당지역","182","(△104)"
"2025000047","2025000047","01","084.9961A",286,1,"02","기타지역","28","(△76)"
"2025000047","2025000047","01","084.9961A",286,2,"01","해당지역","66","(△10)"
"2025000047","2025000047","01","084.9961A",286,2,"02","기타지역","14","1.40"
"2025000047","2025000047","02","084.9745B",178,1,"01","해당지역","24","(△154)"
"2025000047","2025000047","02","084.9745B",178,1,"02","기타지역","6","(△148)"
"2025000047","2025000047","02","084.9745B",178,2,"01","해당지역","21","(△127)"
"2025000047","2025000047","02","084.9745B",178,2,"02","기타지역","2","(△125)"
"2025000047","2025000047","03","084.9211C",61,1,"01","해당지역","12","(△49)"
"2025000047","2025000047","03","084.9211C",61,1,"02","기타지역","3","(△46)"
"2025000047","2025000047","03","084.9211C",61,2,"01","해당지역","8","(△38)"
"2025000047","2025000047","03","084.9211C",61,2,"02","기타지역","2","(△36)"
"2025000047","2025000047","04","084.9991T",5,1,"01","해당지역","114","22.80"
"2025000047","2025000047","04","084.9991T",5,1,"02","기타지역","16",
"2025000047","2025000047","04","084.9991T",5,2,"01","해당지역","0",
"2025000047","2025000047","04","084.9991T",5,2,"02","기타지역","0",
"2025000043","2025000043","01","043.7207J",5,1,"01","해당지역","0","(△5)"
"2025000043","2025000043","01","043.7207J",5,1,"02","기타지역","15","3.00"
"2025000043","2025000043","01","043.7207J",5,2,"01","해당지역","3",
"2025000043","2025000043","01","043.7207J",5,2,"02","기타지역","10",
"2025000043","2025000043","02","043.7207K",5,1,"01","해당지역","1","(△4)"
"2025000043","2025000043","02","043.7207K",5,1,"02","기타지역","7","1.75"
"2025000043","2025000043","02","043.7207K",5,2,"01","해당지역","2",
"2025000043","2025000043","02","043.7207K",5,2,"02","기타지역","2",
"2025000043","2025000043","03","056.2836B",5,1,"01","해당지역","2","(△3)"
"2025000043","2025000043","03","056.2836B",5,1,"02","기타지역","5","1.67"
"2025000043","2025000043","03","056.2836B",5,2,"01","해당지역","1",
"2025000043","2025000043","03","056.2836B",5,2,"02","기타지역","1",
"2025000043","2025000043","04","056.4780C",5,1,"01","해당지역","2","(△3)"
"2025000043","2025000043","04","056.4780C",5,1,"02","기타지역","2","(△1)"
"2025000043","2025000043","04","056.4780C",5,2,"01","해당지역","0","(△1)"
"2025000043","2025000043","04","056.4780C",5,2,"02","기타지역","4","4.00"
"2025000043","2025000043","05","060.4254A",5,1,"01","해당지역","0","(△5)"
"2025000043","2025000043","05","060.4254A",5,1,"02","기타지역","2","(△3)"
"2025000043","2025000043","05","060.4254A",5,2,"01","해당지역","0","(△3)"
"2025000043","2025000043","05","060.4254A",5,2,"02","기타지역","2","(△1)"
"2025000043","2025000043","06","061.4353I",5,1,"01","해당지역","0","(△5)"
"2025000043","2025000043","06","061.4353I",5,1,"02","기타지역","2","(△3)"
"2025000043","2025000043","06","061.4353I",5,2,"01","해당지역","0","(△3)"
"2025000043","2025000043","06","061.4353I",5,2,"02","기타지역","1","(△2)"
"2025000043","2025000043","07","063.2969E",5,1,"01","해당지역","2","(△3)"
"2025000043","2025000043","07","063.2969E",5,1,"02","기타지역","2","(△1)"
"2025000043","2025000043","07","063.2969E",5,2,"01","해당지역","0","(△1)"
"2025000043","2025000043","07","063.2969E",5,2,"02","기타지역","0","(△1)"
"2025000043","2025000043","08","066.9924D",5,1,"01","해당지역","0","(△5)"
"2025000043","2025000043","08","066.9924D",5,1,"02","기타지역","3","(△2)"
"2025000043","2025000043","08","066.9924D",5,2,"01","해당지역","0","(△2)"
"2025000043","2025000043","08","066.9924D",5,2,"02","기타지역","0","(△2)"
"2025000043","2025000043","09","066.8153G",5,1,"01","해당지역","1","(△4)"
