사업명,진행현황,공사위치,사업시행자,면적,수용세대,사업시작(예정)년월,사업종료(예정)년월,데이터 확인일,웹페이지주소
"파주 당동 5-2,6BL",분양완료,"경기도 파주시 문산첨단산업단지 당동지구 내 5-2, 6BL",경기주택도시공사 사장,84,731,2007-12,2010-12,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
김포 양촌,분양완료,경기도 김포시 양촌 산업단지 내 1BL,경기주택도시공사 사장,84,743,2008-04,2010-12,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
광교 에듀타운 12BL,분양완료,경기도 수원시 광교 택지개발지구 내 A12BL,경기주택도시공사 사장,84,1764,2009-11,2012-11,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
광교 에듀 13~15BL,분양완료,경기도 수원시 광교 택지개발지구 내 A13~15BL,경기주택도시공사 사장,125,1173,2009-12,2012-12,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
용인 흥덕,분양완료,경기도 용인시 흥덕 택지개발지구 내 Ab2BL,경기주택도시공사 사장,84,502,2006-12,2009-08,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
시흥 능곡,분양완료,경기도 시흥시 능곡 택지개발지구 내 4BL,경기주택도시공사 사장,84,239,2006-11,2009-05,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
남양주 진접,분양완료,경기도 남양주시 진접 택지개발지구 내 3BL,경기주택도시공사 사장,84,509,2007-02,2009-11,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
김포 장기,분양완료,경기도 김포시 장기 택지개발지구 내 4BL,경기주택도시공사 사장,84,105,2006-07,2009-05,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
화성 동탄 4-1BL,분양완료,경기도 화성시 동탄 택지개발지구 내 4-1BL,경기주택도시공사 사장,59,1289,2005-03,2008-06,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
용인 동백,분양완료,경기도 용인시 동백지구 내 C1-3BL,경기주택도시공사 사장,84,432,2003-11,2006-08,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
용인 구갈,분양완료,"경기도 용인시 구갈3 택지개발지구 내 4BL, 6-1BL",경기주택도시공사 사장,118,781,2001-11,2004-08,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
수원 권선,분양완료,경기도 수원시 권선3 택지개발지구 내,경기주택도시공사 사장,102,223,1999-07,2001-09,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
부천 상동,분양완료,경기도 부천시 상동 택지개발지구 내 9BL,경기주택도시공사 사장,101,559,1999-10,2002-09,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
김포한강 7BL,분양완료,경기도 김포시 한강신도시 택지개발지구 내 A-07BL,경기주택도시공사 사장,84,1382,2009-12,2012-12,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
김포한강 1BL,분양완료,경기도 김포시 한강신도시 택지개발지구 내 A-01BL,경기주택도시공사 사장,84,1167,2009-12,2013-01,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
위례 A2-11BL,분양완료,경기도 위례신도시 내 A2-11BL,경기주택도시공사 사장,60,1540,2011-12,2016-06,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
위례 A2-2BL,분양완료,경기도 성남시 위례신도시 내 A2-2BL,경기주택도시공사 사장,60,1413,2011-12,2017-06,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
남양주 다산진건 B2BL,분양완료,경기도 남양주시 다산진건 공공주택지구 내 B2BL,경기주택도시공사 사장,74,1186,2010-12,2017-12,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
남양주 다산진건 B4BL,분양완료,경기도 남양주시 다산진건 공공주택지구 내 B4BL,경기주택도시공사 사장,74,1615,2010-12,2017-12,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
남양주 다산진건 S1BL,분양완료,경기도 남양주시 다산진건 공공주택지구 내 S1BL,경기주택도시공사 사장,59,1685,2010-12,2018-06,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
남양주 다산진건 B5BL,분양완료,경기도 남양주시 다산진건 공공주택지구 내 B5BL,경기주택도시공사 사장,74,491,2010-12,2019-07,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
평택 고덕 A9BL,분양완료,경기도 평택시 고덕국제화계획지구 내 A9BL,경기주택도시공사 사장,84,755,2015-09,2019-07,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
화성 동탄2 A86BL,분양완료,경기도 화성시 동탄2신도시 택지개발지구 내 A86BL,경기주택도시공사 사장,84,704,2017-11,2020-06,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
남양주 다산진건 B3BL,분양완료,경기도 남양주시 다산진건 공공택지지구 B3BL,경기주택도시공사 사장,74,878,2015-12,2021-08,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
화성동탄2 A-94BL,분양완료,경기도 화성시 동탄2신도시 택지개발지구 내 A94BL,경기주택도시공사 사장,84,1227,2021-08,2024-06,2026-03-11,https://gh.or.kr/gh/house-for-sale.do
