자치구,단지명,임대유형,주소,전체 세대수,임대 세대수,사용승인일
노원구,하계5단지,영구임대,섬밭로 201 하계동 시영아파트,640,640,1989-11-10
마포구,성산,영구임대,월드컵로 207 성산동 도시개발공사성산아파트,1807,1807,1991-05-31
중랑구,면목,영구임대,용마산로 228 면목동 도시개발아파트,905,905,1991-09-30
노원구,중계4단지,공공임대,노원로19길 31 중계동 목화아파트,1979,1979,1991-11-30
노원구,중계3단지,영구임대,노원로 331 중계동 시영3단지목련아파트,2619,2619,1991-11-30
강남구,대치1단지,영구임대,개포로109길 9 개포동 대치아파트,1623,1623,1991-11-15
강남구,수서1단지,"영구,공공",양재대로55길 10 일원동 수서1단지 에스에이치빌,2214,2214,1992-10-30
강서구,가양9단지(임대),공공임대,허준로 224 가양동 가양9단지아파트,914,914,1992-10-15
강서구,가양4단지,영구임대,양천로57길 37 가양동 가양4단지아파트,1998,1998,1992-10-15
강서구,가양8단지,공공임대,허준로 176 가양동 가양8단지아파트,1110,1110,1992-10-15
강남구,수서6단지,영구임대,광평로56길 11 수서동 수서6단지아파트,1508,1508,1992-11-14
강서구,가양5단지,영구임대,양천로57길 36 가양동 가양5단지아파트,2411,2411,1992-10-15
관악구,신림동부(신림5),재개발,신원로 26 신림동 신림동부아파트,592,96,1993-07-19
강서구,방화2-1단지,영구임대,방화대로48길 40 방화동 방화2-1단지아파트,1563,1563,1993-09-30
동작구,상도삼호(상도5),재개발,상도로 407 상도동 삼호아파트,682,221,1994-02-25
강서구,방화11단지,영구임대,개화동로21길 4 방화동 방화11단지아파트,1065,1065,1994-04-30
서대문구,홍제유원(홍제1),재개발,세검정로 134 홍제동 유원하나아파트,150,150,1994-08-01
강서구,방화6단지,"영구,공공",금낭화로23길 25 방화동 방화6단지아파트,1000,1000,1994-07-15
노원구,공릉1단지,영구임대,동일로 1127 공릉동 공릉1단지아파트,1395,1395,1994-11-30
동작구,신대방(임대),주거환경,보라매로 83 신대방동705 신대방아파트,108,48,1995-04-28
서대문구,홍은벽산(홍은5-3),재개발,세검정로1길 95 홍은동 홍은벽산아파트,1509,180,1995-06-01
양천구,신정삼성(신정6-2),재개발,신목로 5 신정동 목동삼성아파트,506,506,1995-05-26
노원구,월계사슴1단지,영구임대,월계로 372 월계동 월계사슴1단지아파트,1372,1372,1995-05-30
노원구,월계사슴2단지,공공임대,월계로55길 16 월계동 월계사슴2단지아파트,775,775,1995-05-30
송파구,마천대성(임대),주거환경,성내천로34길 8 마천동574 대성아파트,71,25,1995-06-26
양천구,신정양천,공공임대,목동로3길 57신정동 양천아파트,2998,2998,1995-10-17
중랑구,신내12단지,영구임대,봉화산로 153 상봉동 신내12단지신내아파트,1000,1000,1995-11-20
강서구,방화9단지,공공임대,양천로11길 57 방화동 방화9단지아파트,250,250,1995-09-30
서대문구,북가좌삼호(북가좌2),재개발,거북골로 154 북가좌동 북가좌삼호아파트,267,267,1995-09-01
중랑구,신내10단지,"영구,공공",신내로 115 신내동 신내10단지아파트,1432,1432,1996-02-15
성동구,청계벽산(하왕3),재개발,무학로 50 하왕십리동 벽산아파트,510,510,1995-12-20
중랑구,신내9단지(임대),공공임대,신내로 127 신내동 신내9단지신내아파트,335,335,1996-05-30
금천구,시흥목련(임대),주거환경,금하로3길 26 시흥동1009 시흥목련아파트,173,105,1996-07-31
도봉구,도봉서원(임대),주거환경,마들로 684-20 도봉동 서원아파트,734,734,1996-08-31
성동구,옥수극동그린(옥수5-2),재개발,독서당로 175 옥수동 극동그린아파트,583,171,1996-02-26
성북구,동소문한진,재개발,성북로4길 52 돈암동 한신한진아파트,580,580,1996-11-01
양천구,목동현대B,재개발,신목로 10 신정동 목동현대아파트,564,564,1996-11-06
송파구,거여6단지,공공임대,양산로2길 38 거여동 거여6단지아파트,660,660,1997-04-10
송파구,오금현대백조(오금2),재개발,양재대로72길 20 오금동 현대백조아파트,153,153,1997-01-24
강동구,천호삼성(천호4),재개발,성안로25길 15 천호동 삼성아파트,247,247,1997-05-26
동대문구,청량리한신(청량리4),재개발,제기로 129 청량리동 한신아파트,610,610,1997-04-21
마포구,염리상록(임대),주거환경,숭문길 106 염리동515-1 상록아파트,678,178,1997-08-05
노원구,학여울청구A(하계2),재개발,동일로207길 186 하계동 학여울청구아파트,486,486,1997-05-31
구로구,오류동부골든(오류1),재개발,고척로 49 오류동 동부골든아파트,304,304,1998-09-04
동작구,흑석청호(임대),주거환경,서달로2길 29 흑석동327 청호아파트,346,170,1997-09-30
동대문구,전농동아(답십리6-4),재개발,서울시립대로 31 전농동 동아아파트,220,220,1997-12-22
동작구,상도건영(본동2-2),재개발,만양로 26 상도동 건영아파트,552,552,1997-09-12
성동구,옥수하이츠(옥수8),재개발,한림말길 50 옥수동 옥수하이츠아파트,238,238,1997-09-05
마포구,창전삼성,재개발,서강로 95 창전동 창전동삼성아파트,311,311,1998-06-24
강동구,천호동아코아(천호5),재개발,구천면로 189 천호동 동아코아아파트,191,64,1997-11-01
양천구,목동2차우성(신정5)_서울리츠2호,재개발(리츠2호),목동남로4길 6-46 신정동 목동2차우성아파트,1140,1140,1998-02-07
서대문구,인왕산현대(홍제4),재개발,통일로34길 46 홍제동 인왕산현대아파트,246,246,1998-02-13
금천구,관악벽산타운(시흥2-1),재개발,금하로 793 시흥동 벽산2단지아파트,564,564,1998-02-25
서대문구,홍제원현대(홍제3),재개발,통일로34길 43 홍제동 홍제원현대아파트,482,482,1998-03-14
노원구,월계청백1단지,공공임대,초안산로 89 월계동 월계청백1단지아파트,1147,1147,1998-06-30
서대문구,독립문극동(현저4),재개발,독립문공원길 17 현저동 독립문극동아파트,600,600,1998-07-15
노원구,상계은빛3단지,공공임대,동일로250길 17 상계동 은빛3단지아파트,900,900,1998-09-01
관악구,봉천인헌(임대),주거환경,낙성대로15길 66 봉천동1725 인헌아파트,216,117,1998-10-14
서대문구,남가좌현대(남가좌6),재개발,가재울로 45 남가좌동 남가좌동현대아파트,330,330,1998-03-31
성북구,종암SK,재개발,종암로24가길 53 종암동 SK아파트,465,465,1998-10-20
마포구,도화현대2차,재개발,새창로8길 72 도화동 현대2차아파트,793,793,1998-10-14
성북구,돈암풍림(돈암3-3),재개발,북악산로 898 돈암동 풍림아파트,309,309,1998-10-31
구로구,구로두산(구로6),재개발,도림로 59 구로동 구로두산아파트,442,442,1998-11-30
노원구,양지대림2(중계4-2),재개발,덕릉로77길 27 중계동 양지대림2차아파트,331,331,1999-03-16
동작구,사당신동아(사당5),재개발,동작대로29길 118 사당동 신동아아파트,333,110,1998-11-20
노원구,양지대림1(중계4-1),재개발,덕릉로73길 31 중계동 양지대림아파트,468,468,1999-02-05
성동구,옥수삼성(옥수9),재개발,독서당로 218 옥수동 옥수삼성아파트,330,330,1999-04-20
관악구,봉천신봉(임대),주거환경,양녕로6나길 18 봉천동1705 신봉아파트,277,150,1999-04-18
성동구,행당대림(하왕2-1),재개발,행당로 79 행당동 행당동 대림아파트,1005,1005,1999-04-23
성북구,돈암삼성(돈암3-2),재개발,동소문로34길 24 돈암동 삼성아파트,736,736,1999-04-30
영등포구,신기목련(임대),주거환경,신길로42가길 34 신길동4935 신기목련아파트,213,105,1999-06-05
관악구,신림초원(임대),주거환경,미성5길 40 신림동1712 초원아파트,197,63,1999-06-30
성동구,행당한진(금호1-6),재개발,행당로 82 행당동 행당 한진타운,728,728,1999-05-14
동대문구,답십리동아(답십리8),재개발,한천로11길 10 답십리동 동아아파트,492,492,1999-07-16
도봉구,도봉서광(임대),주거환경,마들로 770 도봉동643 서광아파트,159,45,1999-08-24
노원구,공릉2-6단지,공공임대,화랑로51길 81 공릉동 공릉아파트,691,691,1999-07-29
중구,약수하이츠동아(신당4),재개발,동호로10길 30 신당동 약수하이츠,684,684,1999-07-29
관악구,봉천동아(봉천2-2),재개발,관악로37길 20 봉천동 봉천동아아파트,829,829,1999-08-30
노원구,상계불암대림(상계7),재개발,덕릉로94가길 41 상계동 상계불암대림아파트,206,206,1999-12-01
영등포구,양평상록수(임대),주거환경,영등포로 17 양평동2가45 상록수아파트,176,70,1999-10-30
마포구,공덕삼성(공덕1),재개발,마포대로 115-8 공덕동 공덕삼성아파트,226,226,1999-10-16
노원구,상계동아불암(상계3-1),재개발,덕릉로112길 13 상계동 동아불암아파트,434,434,1999-11-25
마포구,마포태영(대흥태영),재개발,독막로 266 대흥동 대흥동태영아파트,568,568,1999-11-20
종로구,무악현대(무악1),재개발,통일로 246-11 무악동 무악현대아파트,550,550,1999-11-01
중구,신당삼성(신당5),재개발,청구로1길 23 신당동 삼성아파트,440,440,1999-12-29
강동구,천호태영(천호6),재개발,천호대로 1055 천호동 천호태영아파트,264,264,1999-11-20
노원구,상계불암현대(상계3-2),재개발,덕릉로118길 27 상계동 불암현대아파트,472,472,1999-12-10
관악구,봉천우성(봉천7-1),재개발,관악로30길 40 봉천동 봉천우성아파트,717,717,1999-12-18
동대문구,답십리청솔우성(답십리7),재개발,답십리로57길 53 답십리동 답십리청솔우성아파트,432,432,2000-03-18
양천구,신트리2단지,공공임대,신정로 275 신정동 신트리2단지아파트,698,698,2000-04-30
중구,한진해모로(하왕1-2),재개발,왕십리로39길 30 신당동 한진그랑빌아파트,116,116,2000-04-15
강북구,래미안수유(수유2),재개발,한천로159길 8 수유동 래미안수유아파트,180,180,2000-04-28
동대문구,이문현대(이문1),재개발,한천로58길 135 이문동 현대아파트,188,188,2000-05-03
동대문구,전농SK(전농4),재개발,전농로10길 111 전농동 전농SK아파트,848,848,2000-07-01
중구,남산타운(신당3),재개발,다산로 32 신당동 남산타운,2034,2034,2000-06-09
마포구,신공덕삼성,재개발,백범로37길 6 신공덕동 신공덕1차삼성래미안아파트,376,376,2000-08-14
동대문구,전농삼성(전농5),재개발,전농로 190 전농동 전농동삼성아파트,139,139,2000-07-10
동대문구,제기한신(제기2),재개발,회기로8길 20 제기동 한신아파트,260,260,2000-07-07
동대문구,답십리두산(답십리9),재개발,답십리로56길 21-1 답십리동 두산아파트,310,310,2000-08-02
용산구,산천리버힐삼성(산천삼성),재개발,효창원로13길 7 산천동 리버힐삼성아파트,363,363,2000-06-01
서대문구,DMC래미안클라시스(남가좌7),재개발,증가로 191 남가좌동 남가좌삼성아파트,358,358,2000-08-01
양천구,신정학마을2,공공임대,신정로14길 1 신정동 학마을아파트,510,510,2000-09-12
송파구,거여3,공공임대,양산로2길 44 거여동 거여3단지아파트,598,598,2000-09-24
동작구,상도신동아(상도1),재개발,만양로 19 노량진동 신동아리버파크아파트,925,925,2000-10-01
성동구,금호대우(금호8),재개발,독서당로 272 금호동4가 금호동 대우아파트,508,508,2000-10-06
성동구,금호벽산(금호6),재개발,금호로 100 금호동1가 벽산아파트,1214,1214,2000-10-07
관악구,봉천두산(봉천8),재개발,양녕로 31 봉천동 두산아파트,560,560,2000-10-30
마포구,신공덕2삼성,재개발,만리재로 74 신공덕동 신공덕2차삼성래미안,103,103,2000-10-28
중구,중림삼성(충정삼성),재개발,중림로4길 41 중림동 삼성사이버빌리지,355,355,2000-12-22
양천구,신정푸른마을1단지,공공임대,신정로7길 70 신정동 푸른마을1단지아파트,500,500,2001-01-29
동대문구,이문쌍용,재개발,한천로58길 75-45 이문동 쌍용아파트,245,245,2000-11-29
영등포구,신길삼성(신길2-3),재개발,신길로42길 25 신길동 삼성아파트,387,387,2001-03-10
성동구,하왕금호베스트빌(하왕1-3),재개발,난계로 114-31 하왕십리동 금호 베스트빌,274,274,2001-04-10
마포구,염리삼성,재개발,백범로25길 83 염리동 염리삼성래미안,109,109,2001-03-01
동대문구,답십리대우(답십리11),재개발,답십리로41길 7 답십리동 답십리대우아파트,108,108,2001-03-17
노원구,상계마들,영구임대,덕릉로70가길 101 상계동 상계마들아파트,170,170,2001-01-31
관악구,관악드림타운(봉천3),재개발,구암길 106 봉천동 관악드림타운아파트,1843,1843,2001-07-16
서대문구,냉천동부(냉천),재개발,독립문로14길 64-6 냉천동 동부센트레빌아파트,76,76,2001-07-18
용산구,도원삼성(도원),재개발,새창로8길 7 도원동 도원동삼성래미안아파트,534,534,2001-10-05
은평구,수색대림(수색2-1),재개발,은평터널로 66 수색동 대림한숲타운아파트,464,464,2001-10-15
동대문구,홍릉동부(청량리5),재개발,제기로26길 26 청량리동 동부센트레빌아파트,150,150,2001-10-29
노원구,학여울청구B(하계2B),재개발,한글비석로 6 하계동 학여울청구아파트,378,378,2001-11-17
강북구,SK북한산시티(미아1-1),재개발,솔샘로 174 미아동 SK북한산시티아파트,1497,1497,2001-11-17
성북구,길음동부(길음3),재개발,숭인로2길 61 길음동 길음동동부센트레빌아파트,300,300,2002-03-01
성동구,하왕극동미라주(하왕5),재개발,난계로 73 하왕십리동 극동미라주 아파트,191,191,2001-12-14
동대문구,이문중앙하이츠빌(이문4),재개발,휘경로11길 52 이문동 중앙하이츠빌,372,70,2002-05-03
성북구,상월곡동아(상월곡),재개발,장월로1길 28 상월곡동 동아에코빌아파트,278,278,2002-08-14
마포구,공덕2삼성(공덕2),재개발,만리재옛길 101 공덕동 삼성래미안공덕2차아파트,199,199,2002-08-14
성동구,행당한신(행당2),재개발,고산자로 164 행당동 행당한신아파트,159,159,2002-09-12
금천구,시흥벽산(시흥1),재개발,금하로 796 시흥동 벽산6단지아파트,1288,1288,2002-09-26
강북구,미아벽산(미아1-2),재개발,솔샘로 159 미아동 벽산라이브파크,490,490,2002-10-22
동대문구,답십리대림(답십리10),재개발,답십리로60길 38 답십리동 대림아파트,275,47,2002-10-28
동작구,상도래미안1차(상도2),재개발,등용로 37 상도동 상도래미안1차아파트,164,164,2002-11-14
노원구,온수연립주택,기타임대,동일로239나길 27 상계동 온수연립,15,15,2002-11-04
성북구,월곡두산,재개발,오패산로 46 하월곡동 월곡두산위브아파트,458,458,2003-04-30
동대문구,이문대림(이문3),재개발,이문로54길 16 이문동 이문e편한세상아파트,181,181,2003-05-28
성북구,정릉풍림(정릉4),재개발,솔샘로25길 11-14 정릉동 정릉풍림아이원아파트,332,332,2003-06-28
마포구,상암월드컵1단지,공공임대,월드컵북로47길 8 상암동 상암월드컵아파트 1단지,820,820,2003-08-30
관악구,관악벽산블루밍,재개발,양녕로 117 봉천동 벽산블루밍아파트,799,799,2003-10-02
동작구,상도3쌍용,재개발,상도로 107 상도동 쌍용스윗닷홈,65,65,2003-12-27
관악구,관악푸르지오(봉천7-2),재개발,청림5길 28 봉천동 관악푸르지오2단지아파트,392,392,2003-12-18
강북구,삼각산아이원(미아5),재개발,삼양로19길 113 미아동 삼각산아이원아파트,673,673,2003-12-30
동작구,본동한신휴플러스(본동2-3),재개발,매봉로 99 본동 한신휴플러스아파트,134,134,2004-08-07
성북구,길음뉴타운4단지,재개발,길음로 118 길음동 길음뉴타운,276,276,2005-04-20
성북구,길음뉴타운3단지,재개발,길음로13길 39 길음동 길음뉴타운,282,282,2005-04-20
영등포구,당산 SH VILLE,공공임대,영신로 183 당산동3가 당산 SH VILLE,195,195,2005-06-17
서초구,방배SH-ville(방배2),재개발,과천대로 908 방배동 방배에스에이치빌아파트,81,81,2005-08-12
은평구,불광SH-ville(불광1),재개발,불광로2길 46 불광동 불광에스에이치빌,100,100,2005-09-04
성북구,장월1(임대),국민,한천로101길 54 장위동 장월 에스에이치빌 1단지,254,254,2006-04-18
동작구,본동SH-ville,재개발,노량진로22길 60 본동 본동 에스에이치빌,176,176,2006-11-01
동작구,상도SH-ville,재개발,상도로53길 70 상도동 상도에스에이치빌,953,953,2006-11-01
성동구,마장동 임대아파트,국민,마조로15가길 23 마장동 마장 에스에이치빌,400,400,2006-11-01
성북구,종암SH-Ville,재개발,종암로9길 71 종암동 종암2차 아이파크,104,104,2007-04-09
강서구,발산지구2단지(임대),"국민,장기",강서로47길 158 내발산동741 마곡수명산파크2단지아파트,629,272,2007-07-10
송파구,송파파인타운11단지(임대),"국민,장기",송파대로8길 58 장지동854 송파파인타운11단지,333,124,2007-07-31
송파구,송파파인타운10단지(임대),"국민,장기",송파대로8길 20 장지동856 송파파인타운10단지,545,356,2007-08-20
마포구,외국인임대주택,외국인,월드컵북로60길 13 상암동 DMC VILLE외국인임대주택,175,175,2006-09-14
은평구,응암SH-ville(응암6),재개발,백련산로 146-30 응암동 응암 SH-VILLE,136,136,2007-08-20
양천구,신월동도센트리움,재건축,오목로17길 7 신월동 동도센트리움아파트,99,7,2007-03-30
강북구,미아SH-ville(미아2),재개발,삼양로 246-14 미아동 미아 에스에이치빌 아파트,57,57,2007-08-27
강서구,발산지구3단지(임대),장기전세,수명로1길 110 내발산동751 마곡수명산파크3단지아파트,518,281,2007-09-08
강서구,발산지구6단지(임대),국민,수명로2길 63 내발산동759 마곡수명산파크6단지아파트,399,237,2007-09-21
강서구,발산지구1단지(임대),국민,강서로47길 108 내발산동742 마곡수명산파크1단지아파트,1421,841,2007-10-10
