사업지구명,블록명,위치,공급유형,세대수,준공예정일
인천영종,A24,인천광역시 중구 중산동 인천시 중구 중산동 영종하늘도시내,공공분양,641,2028-08-31
인천영종,A62,인천광역시 중구 중산동 인천시 중구 중산동 영종하늘도시내,공공분양,792,2028-06-30
석문국가산단,B-3,충청남도 당진시 석문면 충남 당진군 충남 당진군 석문면,공공분양,1053,2026-06-30
평택고덕국제화계획,Aa38,경기도 평택시 경기 평택시 경기 평택시,통합공공임대,966,2027-11-30
평택고덕국제화계획,Ab37,경기도 평택시 경기 평택시 경기 평택시,공공임대(6년),603,2027-12-31
평택고덕국제화계획,A64,경기도 평택시 경기 평택시,통합공공임대,536,2028-05-31
평택고덕국제화계획,A63,경기도 평택시 경기 평택시,공공분양,630,2028-06-30
평택고덕국제화계획,Ab35,경기도 평택시 경기 평택시,공공분양,753,2028-09-30
평택고덕국제화계획,Ab31,경기도 평택시 경기 평택시,공공분양,690,2028-09-30
평택고덕국제화계획,Aa34,경기도 평택시 경기 평택시,공공분양,679,2028-09-30
평택고덕국제화계획,A65,경기도 평택시 경기 평택시,공공분양,837,2028-12-30
평택고덕국제화계획,Abc12,경기도 평택시 경기 평택시,공공분양,942,2028-12-30
행정중심복합도시,51L13,세종특별자치시 어진동 충남 연기군,행복주택,200,2027-06-30
행정중심복합도시,63L2,세종특별자치시 어진동 충남 연기군,통합공공임대,500,2027-07-31
행정중심복합도시,52UR2,세종특별자치시 어진동 충남 연기군,통합공공임대,328,2028-12-31
행정중심복합도시,51L1,세종특별자치시 어진동 충남 연기군,공공분양,681,2028-08-31
행정중심복합도시,51L5,세종특별자치시 어진동 충남 연기군,통합공공임대,1327,2027-07-31
행정중심복합도시,51L3,세종특별자치시 어진동 충남 연기군,통합공공임대,340,2027-03-31
행정중심복합도시,52L3,세종특별자치시 어진동 충남 연기군,통합공공임대,619,2028-10-30
부산명지,A5,부산광역시 강서구 명지동,공공분양,876,2029-03-30
부산명지,A5,부산광역시 강서구 명지동,공공임대(6년),429,2029-03-30
대덕R&D특구 2단계,A4,대전광역시 유성구 둔곡동 대전 유성구,공공분양,575,2026-12-30
대덕R&D특구 2단계,A4,대전광역시 유성구 둔곡동 대전 유성구,통합공공임대,98,2026-12-30
과천지식정보타운,S-12,경기도 과천시 경기 과천시 경기 과천시,행복주택,1424,2027-08-31
화성동탄2,C-14,경기도 화성시 경기 화성군,공공분양,240,2028-05-31
화성동탄2,C-14,경기도 화성시 경기 화성군,공공임대(6년),610,2028-05-31
화성동탄2,C-27,경기도 화성시 경기 화성군,공공분양,563,2028-11-30
충남도청이전도시,RM5,충청남도 예산군 삽교읍 충남 홍성군 충남 홍성군 예산군 삽교읍 일원,공공분양,864,2029-12-31
충남도청이전도시,RH15,충청남도 예산군 삽교읍 충남 홍성군,공공분양,1298,2029-12-31
인천검단,AA13-1,인천광역시 서구 당하동 인천 인천 인천 서구 마전동 원당동 당하동 일원 인천검단 택지개발지구 내,공공분양,702,2028-12-31
인천검단,AA21,인천광역시 서구 당하동 인천 인천 인천광역시 서구 원당동 마전동 불로동 일원,공공분양,1224,2026-12-31
인천검단,AA19,인천광역시 서구 당하동 인천 인천,국민임대,991,2027-09-30
인천검단,AA19,인천광역시 서구 당하동 인천 인천,영구임대,332,2027-09-30
인천검단,AA13-2,인천광역시 서구 당하동 인천 인천,공공분양,964,2028-12-31
장항국가생태산업단지,A2,충청남도 서천군 마서면 충남 서천군 충남 서천군,공공분양,444,2026-06-30
장항국가생태산업단지,B1,충청남도 서천군 마서면 충남 서천군 충남 서천군 장항국가생태산업단지 내,공공분양,636,2026-06-30
