연월,60제곱미터 이하,60제곱미터 초과 85제곱미터 이하,85제곱미터 초과,59형,84형
2020-02,538,410,507,532,408
2020-03,389,407,574,368,417
2020-04,403,459,529,400,467
2020-05,483,447,475,485,458
2020-06,485,435,427,467,427
2020-07,603,425,489,554,421
2020-08,410,393,405,418,393
2020-09,434,456,541,421,476
2020-10,348,399,462,346,397
2020-11,333,405,374,326,412
2020-12,387,352,412,386,347
2021-01,371,387,496,368,401
2021-02,341,411,494,335,421
2021-03,408,388,461,403,385
2021-04,394,366,428,392,368
2021-05,350,365,343,306,362
2021-06,534,385,403,535,378
2021-07,422,368,394,371,370
2021-08,427,383,391,423,382
2021-09,441,387,480,435,387
2021-10,382,375,432,382,378
2021-11,383,400,441,409,396
2021-12,413,440,490,406,442
2022-01,587,453,444,563,457
2022-02,411,443,537,458,441
2022-03,663,416,426,636,411
2022-04,574,449,453,486,455
2022-05,505,433,483,442,425
2022-06,558,449,468,545,445
2022-07,514,421,455,518,416
2022-08,483,419,416,461,417
2022-09,549,399,420,480,380
2022-10,467,424,485,460,422
2022-11,1020,563,447,967,561
2022-12,769,494,550,784,482
2023-01,534,338,0,534,336
2023-02,691,491,550,722,464
2023-03,564,491,477,607,474
2023-04,824,524,426,803,515
2023-05,868,643,755,899,659
2023-06,694,544,551,677,549
2023-07,607,522,668,493,520
2023-08,829,608,608,802,587
2023-09,542,526,493,537,516
2023-10,811,545,521,806,547
2023-11,655,521,437,606,508
2023-12,736,537,460,741,512
2024-01,805,528,922,617,531
2024-02,602,575,645,577,588
2024-03,545,672,225,545,933
2024-04,683,524,637,666,514
2024-05,648,526,539,649,524
2024-06,859,596,733,883,594
2024-07,876,672,661,808,689
2024-08,881,754,811,830,782
2024-09,875,707,601,845,688
2024-10,566,587,577,537,584
2024-11,922,610,795,906,612
2024-12,547,526,625,554,520
2025-01,824,694,737,831,713
2025-02,515,536,614,510,534
2025-03,481,516,499,493,504
2025-04,689,619,687,683,620
2025-05,867,565,564,852,560
2025-06,623,552,826,619,548
2025-07,690,553,1329,663,548
2025-08,694,613,761,656,596
2025-09,924,602,543,957,605
2025-10,1359,572,608,1478,561
2025-11,823,552,537,799,546
2025-12,646,689,653,646,683
2026-01,846,681,603,809,676
2026-02,1115,584,591,1126,581
