공고명,공고시작일,공고종료일,공고등록일,기타유의사항
동탄2 신동포레 경기행복주택 단지 내 청년창업몰 전차인 1사분기 모집 안내,2026-02-13,2026-02-13,2026-02-13,공란은 데이터 미집계
동탄2 A93 분양상가 모집 공고(총7호),2026-01-07,2026-01-07,2025-12-19,공란은 데이터 미집계
[안양 냉천지구 주거환경개선사업] 안양 어반포레 자연앤 e편한세상 단지 내 상가 분양공고,2025-12-17,2025-12-17,2025-12-17,공란은 데이터 미집계
동탄2 신동포레 경기행복주택 단지 내 청년창업몰 전차인 5기 모집 안내,2025-12-12,2026-01-09,2025-12-12,공란은 데이터 미집계
"다산진건A1, B5, 지금A1 분양상가 모집 공고(총 8호)",2025-12-09,2025-12-22,2025-12-09,공란은 데이터 미집계
팔달주차타워 근린생활시설(5호) 임차인 수의계약 모집공고,2025-11-21,2025-11-27,2025-11-21,공란은 데이터 미집계
"수원광교, 하남덕풍, 다산지금A5 경기행복주택 임대상가 임차인 2차 모집 공고",2025-11-12,2025-11-19,2025-11-12,공란은 데이터 미집계
연천BIX 경기행복주택 단지 내 분양상가 모집 공고,2025-10-30,2025-11-13,2025-10-30,공란은 데이터 미집계
[안양 냉천지구 주거환경개선사업] 안양 어반포레 자연앤 e편한세상 단지 내 상가 분양공고,2025-10-21,2025-10-21,2025-10-21,공란은 데이터 미집계
(선착순수의계약) 안성청사복합 통합공공임대주택 단지 내 일반형 임대상가 임차인 모집 공고,2025-10-17,2025-10-30,2025-10-17,공란은 데이터 미집계
안성청사복합 통합공공임대주택 일반임대상가 임차인 2차 모집 공고,2025-09-18,2025-09-25,2025-09-18,공란은 데이터 미집계
"수원광교, 하남덕풍, 다산지금A5 경기행복주택 임대상가 임차인 모집 공고",2025-09-16,2025-09-30,2025-09-16,공란은 데이터 미집계
동탄2 신동포레 경기행복주택 단지 내 청년창업몰 전차인 4기 모집 안내,2025-09-12,2025-10-20,2025-09-12,공란은 데이터 미집계
안성청사복합 통합공공임대주택 일반임대상가 임차인 모집 공고,2025-08-28,2025-09-10,2025-08-28,공란은 데이터 미집계
안성청사복합 통합공공임대주택 단지 내 공공임대상가 임차인 2차 모집 공고,2025-07-24,2025-08-07,2025-07-24,공란은 데이터 미집계
"(선착순수의계약) 양평공흥,수원영통,용인영덕 행복주택, 안성청사복합 통합공공임대주택 단지 내 일반형 임대상가 임차인 모집 공고",2025-07-18,2025-07-31,2025-07-18,공란은 데이터 미집계
안성청사복합 통합공공임대주택 단지 내 공공임대상가 임차인 모집 공고,2025-06-26,2025-07-10,2025-06-26,공란은 데이터 미집계
"양평공흥,수원영통,용인영덕 경기행복주택 단지 내 일반형 임대상가 임차인 모집 공고",2025-06-25,2025-07-08,2025-06-25,공란은 데이터 미집계
[중단공고] 다산지금A5 경기행복주택 단지 내 상가 수의계약 공급 중단 안내(근생2동),2025-06-16,2025-06-23,2025-06-16,공란은 데이터 미집계
안성청사복합 통합공공임대 일반임대상가 임차인 재모집 공고,2025-05-27,2025-06-12,2025-05-27,공란은 데이터 미집계
"(선착순수의계약)평택BIX, 경기광주역, 판교이노베이션랩, 다산지금A5 경기행복주택 일반형 임대상가 임차인 모집 공고",2025-05-23,2025-06-11,2025-05-23,공란은 데이터 미집계
(선착순 수의계약) 안산스마트허브 경기행복주택 일반형 임대상가 모집 공고,2025-04-30,2025-05-19,2025-04-30,공란은 데이터 미집계
"평택BIX, 경기광주역, 판교이노베이션랩, 다산지금A5 경기행복주택 일반형 임대상가 임차인 모집 공고(2차)",2025-04-29,2025-05-13,2025-04-29,공란은 데이터 미집계
동탄2 신동포레 경기행복주택 청년창업몰 전차인 모집안내,2025-04-21,2025-04-21,2025-04-21,공란은 데이터 미집계
(선착순 수의계약) 의왕역 경기행복주택 일반형 임대상가 모집 공고,2025-03-24,2025-03-24,2025-03-24,공란은 데이터 미집계
(수정공고) 의왕역 경기행복주택 단지 내 공공임대상가 임차인 모집 공고,2025-03-11,2025-03-25,2025-03-11,공란은 데이터 미집계
의왕역 경기행복주택 일반형 임대상가 임차인 모집 공고,2025-03-05,2025-03-11,2025-03-05,공란은 데이터 미집계
