공고명,공고시작일,공고종료일,공고등록일
광주역세권 숙박시설용지(숙박1) 재공급 공고,2026-03-18,2026-03-18,2026-02-27
광교택지개발지구 주차장용지(주28) 재공급 공고,2026-03-24,2026-03-24,2026-02-27
화성동탄(2) 근린상업용지 재공급 공고,2026-03-25,2026-03-25,2026-02-27
화성동탄(2) 도시지원시설용지 재공급 공고,2026-03-25,2026-03-25,2026-02-27
남양주왕숙 기업이전단지(진건1·2) 산업·자족시설용지 공급공고,2026-02-23,2026-03-25,2026-01-30
[택지][중단공고] 수의계약 공급공고 중단,2026-01-07,2026-02-07,2026-01-07
(정정)고양 일산테크노밸리 도시개발사업 상업용지 공급 공고,2025-12-19,2026-01-19,2025-12-19
남양주왕숙 기업이전단지(진건1·2) 사전 공급안내,2025-11-28,2025-11-28,2025-11-28
[정정] 고양 일산테크노밸리 지식기반시설용지 공급,2025-11-21,2025-12-03,2025-11-21
화성동탄(2) 도시지원시설용지 공급공고,2025-11-20,2025-12-16,2025-11-20
화성동탄(2) 근린상업용지 공급공고,2025-11-20,2025-12-16,2025-11-20
[수정]광주역세권 도시개발사업 준주거용지 수의계약 공급공고,2025-11-14,2025-11-14,2025-11-14
광주역세권 도시개발사업 숙박시설용지 공급공고,2025-11-14,2025-11-14,2025-11-14
(정정)광교신도시 도시지원·근린생활·주차장용지 공급공고,2025-11-05,2025-11-21,2025-11-05
(정정)화성동탄(2) 택지 4단계 소유권이전등기 서류교부 안내,2025-11-04,2025-12-04,2025-11-04
광교신도시 도시지원·근린생활·주차장용지 공급공고,2025-10-27,2025-11-21,2025-10-27
고양 일산테크노밸리 도시개발사업지구 상업용지(대토) 공급공고,2025-10-24,2025-10-30,2025-10-24
화성동탄(2) 택지 4단계 소유권이전등기 서류교부 안내,2025-10-23,2025-10-23,2025-10-23
화성동탄(2) 근린생활시설용지 수의계약 공급공고,2025-07-28,2025-07-28,2025-07-17
광주역세권 도시개발사업 준주거·숙박시설용지 수의계약 공급공고,2025-07-25,2025-07-25,2025-07-14
"다산신도시 상업,업무시설용지 수의계약 공급 공고",2025-07-16,2025-07-16,2025-07-01
"광교택지 주차장 및 근린생활시설용지 재공급공고(주28, 근생20)",2025-07-10,2025-07-10,2025-06-30
화성동탄(2) 근린생활시설용지 재공급 공고,2025-07-02,2025-07-02,2025-06-19
평택고덕국제화계획지구 종교시설용지 수의계약 공급 공고(정정),2025-05-12,2025-05-26,2025-05-12
평택고덕국제화계획지구 업무시설용지 재공급 공고,2025-05-12,2025-05-26,2025-05-12
광주역세권 도시개발사업 단독주택·준주거·숙박시설용지 공급공고,2025-04-23,2025-05-13,2025-04-23
광주역세권 도시개발사업 단독주택용지(주거전용) 공급공고,2025-04-23,2025-05-08,2025-04-23
"광교택지 주차장 및 근린생활시설용지 재공급공고(주28, 근생20)",2025-04-18,2025-04-29,2025-04-18
화성동탄(2) 근린생활시설용지 공급공고,2025-04-18,2025-05-08,2025-04-18
평택고덕국제화계획지구 업무시설용지 공급 공고,2025-04-16,2025-04-30,2025-04-16
평택고덕국제화계획지구 종교시설용지 공급 공고,2025-04-16,2025-04-30,2025-04-16
"화성동탄(2) 주거전용 단독주택용지(D33, D34)수의계약 공급 공고[정정]",2025-04-16,2025-04-16,2025-04-16
성남금토 공공주택지구 주차장 및 종교용지 공급공고,2025-04-14,2025-04-28,2025-04-14
[정정]평택고덕국제화계획지구 단독주택용지 수의계약 공급 공고문,2025-04-11,2025-04-11,2025-04-11
(수정공지) 광교택지 주차장용지 재공급 공고(주28),2025-01-20,2025-01-20,2025-01-08
화성동탄(2) 근린생활시설용지 재공급 공고,2025-01-03,2025-01-03,2024-12-24
고양방송영상밸리 도시개발사업 방송시설용지 공급 보완공고 안내,2024-12-20,2024-12-20,2024-12-20
다산신도시 지금지구 상업·업무용지 공급공고,2024-12-30,2024-12-30,2024-12-18
광교택지 주차장용지 공급 공고(주28),2024-12-24,2024-12-24,2024-12-12
화성동탄(2) 근린생활시설용지 공급공고,2024-12-19,2024-12-19,2024-12-09
평택고덕국제화계획지구 단독주택용지 수의계약 공급 공고문,2024-12-16,2024-12-16,2024-12-06
평택고덕국제화계획지구 업무시설용지 수의계약 공급 공고문,2024-12-16,2024-12-16,2024-12-06
광주역세권 도시개발사업 준주거용지·숙박시설용지 공급공고,2024-12-09,2024-12-09,2024-11-29
"화성동탄(2) 주거전용 단독주택용지(D33, D34) 수의계약 공급 공고",2024-12-09,2024-12-09,2024-11-28
평택고덕국제화계획지구 종교시설용지 수의계약 공급 공고,2024-12-05,2024-12-05,2024-11-27
평택고덕국제화계획지구 업무시설용지 재공급 공고,2024-12-05,2024-12-05,2024-11-27
평택고덕국제화계획지구 점포겸용 단독주택용지 재공급 공고(FD-1),2024-12-05,2024-12-05,2024-11-27
평택고덕국제화계획지구 종교시설용지 공급 공고,2024-11-26,2024-11-26,2024-11-21
평택고덕국제화계획지구 업무시설용지 공급 공고,2024-11-26,2024-11-26,2024-11-21
평택고덕국제화계획지구 점포겸용 단독주택용지 공급 공고(FD-1),2024-11-26,2024-11-26,2024-11-21
"화성동탄(2) 주거전용 단독주택용지(D33, D34) 공급 공고",2024-11-27,2024-11-27,2024-11-21
[중단공고] 화성동탄(2) 택지개발지구 주거전용단독주택용지(D34) 공급공고 중단,2024-11-15,2024-12-15,2024-11-15
[중단공고] 고덕국제화계획지구 점포겸용 단독주택용지 수의계약 재공급 공고(FD-1) 중단,2024-11-13,2024-12-13,2024-11-13
다산신도시 상업·업무시설용지 수의계약 공급공고,2024-11-22,2024-11-22,2024-11-12
"성남금토 공공주택지구 자족시설용지(1-4, 3) 사업자 공모 참가의향서 접수결과 알림",2024-10-08,2024-11-08,2024-10-08
다산신도시 진건지구 상업시설용지 재공급공고,2024-10-15,2024-10-15,2024-10-04
"성남금토 공공주택지구 자족시설용지(1-4, 3) 사업자 공모 공고",2024-09-27,2024-12-06,2024-09-27
다산신도시 진건지구 상업시설용지 공급공고,2024-09-24,2024-09-24,2024-09-05
