시도,2021년1분기,2021년2분기,2021년3분기,2021년4분기,2022년1분기,2022년2분기,2022년3분기,2022년4분기,2023년1분기,2023년2분기,2023년3분기,2023년4분기,2024년1분기,2024년2분기,2024년3분기,2024년4분기,2025년1분기,2025년2분기,2025년3분기,2025년4분기
전국,20344,21693,15172,33221,12163,11114,15696,11304,6833,14436,9512,17397,4737,14291,10085,13213,6590,11793,14339,9482
서울,55,48,593,60,464,148,0,219,738,986,619,128,0,1181,850,800,0,263,0,87
인천,104,153,0,2373,2455,1170,474,485,868,1370,372,2678,153,342,2758,2194,196,1218,2319,3001
경기,3166,8463,6869,6676,5042,2957,4912,3352,1665,4835,1760,9840,390,5652,3551,3040,2150,3926,5265,3147
부산,0,656,0,2522,725,0,0,0,2384,2382,0,0,0,1864,596,586,400,569,2481,578
대구,3360,3309,941,2883,424,440,117,481,0,0,0,0,143,0,1112,418,0,696,0,0
광주,213,294,0,418,0,0,131,0,176,0,1138,380,3556,0,0,0,0,159,0,0
대전,0,316,934,743,0,307,0,851,0,0,0,358,495,1673,0,394,0,1166,0,0
울산,924,303,0,967,447,1279,0,631,95,0,402,140,0,693,0,0,0,55,1173,1366
세종,0,0,0,660,0,0,0,190,0,0,0,0,0,0,0,698,0,0,0,0
강원,920,639,2204,326,234,197,385,346,0,1152,1382,450,0,439,900,0,656,0,0,0
충북,2450,1082,0,2409,0,875,2549,1319,200,874,644,890,0,1450,173,599,148,655,459,0
충남,4739,2164,0,1594,0,195,316,0,0,1060,0,1140,0,0,0,3240,0,1651,1707,0
전북,0,794,218,2546,878,288,704,0,707,206,0,0,0,0,0,0,0,0,0,572
전남,565,0,238,2398,140,0,2154,0,0,0,1845,0,0,997,145,1244,0,294,0,305
경북,0,2843,2181,5282,0,2681,2043,1455,0,0,1350,763,0,0,0,0,999,0,866,264
경남,3564,629,994,1279,1093,443,1795,1975,0,1146,0,630,0,0,0,0,2041,1141,0,162
제주,284,0,0,85,261,134,116,0,0,425,0,0,0,0,0,0,0,0,69,0
