시군명,공사명,공사시작일,공사완료일,시공사명,세대수,입주예정일
고양시,고양 풍동2지구 A-2BL 공동주택,2021-12-29,2025-07-28,(주)포스코건설,487,2024-11-30
고양시,고양 풍동2지구 A-4BL 공동주택,2021-12-29,2025-06-30,(주)포스코건설,737,2024-11-30
고양시,고양 풍동2지구 A-1BL 공동주택,2021-12-29,2025-07-28,(주)포스코건설,866,2024-11-30
고양시,"고양삼송 단독 14-1, 14-2, 15블럭 공동주택 신축공사",2023-09-18,2025-11-17,현대건설㈜,107,2025-11-17
고양시,고양 풍동2지구 3블럭 2단지 공동주택,2024-01-26,2027-04-30,㈜일신건영,529,2027-04-30
고양시,고양 장항M1 블록 주상복합 ,2024-05-01,2028-06-30,㈜반도건설,1694,2028-06-30
고양시,고양 장항B3 블록 공동주택,2024-07-04,2027-04-30,㈜금호건설,760,2027-04-30
고양시,고양 장항B1 블록 공동주택,2023-11-24,2026-11-30,(주)제일건설,1184,2026-11-30
고양시,고양 풍동2지구 4블럭 1단지,2024-04-19,2027-01-24,(주)DL이엔씨,321,2027-01-24
고양시,고양 풍동2지구 4블럭 2단지,2024-04-19,2027-01-24,(주)DL이엔씨,546,2027-01-24
고양시,고양 풍동2지구 4블럭 3단지,2024-04-19,2027-01-24,(주)DL이엔씨,457,2027-01-24
고양시,고양 풍동2지구 3블럭 1단지,2025-05-15,2028-04-14,(주)대우건설,458,2028-04-14
고양시,고양 풍동2지구 A-3-1블럭,2025-04-04,2028-02-20,(주)포스코건설,279,2028-04-14
고양시,고양 풍동2지구 A-3-2블럭,2025-04-04,2028-02-20,(주)포스코건설,339,2028-04-14
