항목명,배정점수,배점항목점수,상세설명,적용시작일자,적용종료일자
① 신청자 본인 소득,3,0,,2022-12-29,9999-12-31
70% 이하,0,3,,2022-12-29,9999-12-31
70% 초과 100% 이하,0,2,,2022-12-29,9999-12-31
100% 초과,0,1,,2022-12-29,9999-12-31
② 해당 시ㆍ도 연속 거주기간,3,0,,2022-12-29,9999-12-31
2년 이상,0,3,,2022-12-29,9999-12-31
1년 이상 2년 미만,0,2,,2022-12-29,9999-12-31
1년 미만,0,1,,2022-12-29,9999-12-31
미거주,0,0,,2022-12-29,9999-12-31
③ 주택청약종합저축 납입 횟수,3,0,,2022-12-29,9999-12-31
24회 이상,0,3,,2022-12-29,9999-12-31
12회 이상 23회 이하,0,2,,2022-12-29,9999-12-31
6회 이상 11회 이하,0,1,,2022-12-29,9999-12-31
④ 근로기간 소득세 납부,3,0,,2022-12-29,9999-12-31
5년 이상,0,3,,2022-12-29,9999-12-31
3년 이상 5년 미만,0,2,,2022-12-29,9999-12-31
3년 미만,0,1,,2022-12-29,9999-12-31
해당 없음,0,0,,2022-12-29,9999-12-31
가구소득,1,0,,2022-12-29,9999-12-31
해당 세대 월평균소득이 전년도 도시근로자 가구당 월평균 소득의 80%(배우자 소득이 있는 경우 100%) 이하,0,1,해당 세대의 월평균소득이 전년도 도시근로자 가구당 월평균 소득의 80%(배우자가 소득이 있는 경우 100%) 이하인 경우,2022-12-29,9999-12-31
해당없음,0,0,,2022-12-29,9999-12-31
자녀의 수,3,0,,2022-12-29,9999-12-31
3명 이상,0,3,미성년인 자녀(임신 중 태아나 입양을 포함)를 말하며 혼인여부 또는 혼인기간과 무관하게 신청자 또는 (예비)배우자의 자녀를 모두 포함하여 입력,2022-12-29,9999-12-31
2명,0,2,미성년인 자녀(임신 중 태아나 입양을 포함)를 말하며 혼인여부 또는 혼인기간과 무관하게 신청자 또는 (예비)배우자의 자녀를 모두 포함하여 입력,2022-12-29,9999-12-31
1명,0,1,미성년인 자녀(임신 중 태아나 입양을 포함)를 말하며 혼인여부 또는 혼인기간과 무관하게 신청자 또는 (예비)배우자의 자녀를 모두 포함하여 입력,2022-12-29,9999-12-31
0명,0,0,,2022-12-29,9999-12-31
해당 주택건설지역 연속 거주기간,3,0,,2022-12-29,9999-12-31
