연도,분기,지역,60제곱미터 이하,60제곱미터 초과 85제곱미터 이하,85제곱미터 초과
2020,1분기  ,서울  ,673,644,1486
2020,1분기  ,경기  ,529,430,588
2020,1분기  ,인천  ,430,491,610
2020,1분기  ,부산  ,448,474,0
2020,1분기  ,대구  ,464,472,470
2020,1분기  ,광주  ,0,0,0
2020,1분기  ,대전  ,0,0,0
2020,1분기  ,울산  ,0,323,0
2020,1분기  ,세종  ,0,0,0
2020,1분기  ,강원  ,146,284,393
2020,1분기  ,충북  ,0,291,284
2020,1분기  ,충남  ,284,265,0
2020,1분기  ,전북  ,0,0,0
2020,1분기  ,전남  ,0,288,306
2020,1분기  ,경북  ,0,299,0
2020,1분기  ,경남  ,0,0,0
2020,1분기  ,제주  ,431,436,603
2020,2분기  ,서울  ,749,940,1092
2020,2분기  ,경기  ,473,476,446
2020,2분기  ,인천  ,506,505,589
2020,2분기  ,부산  ,425,420,425
2020,2분기  ,대구  ,469,477,509
2020,2분기  ,광주  ,424,389,471
2020,2분기  ,대전  ,308,292,0
2020,2분기  ,울산  ,450,411,466
2020,2분기  ,세종  ,0,0,0
2020,2분기  ,강원  ,280,397,620
2020,2분기  ,충북  ,0,273,0
2020,2분기  ,충남  ,265,272,0
2020,2분기  ,전북  ,242,233,261
2020,2분기  ,전남  ,140,317,415
2020,2분기  ,경북  ,0,273,276
2020,2분기  ,경남  ,276,337,646
2020,2분기  ,제주  ,410,417,406
2020,3분기  ,서울  ,1008,719,1105
2020,3분기  ,경기  ,429,428,510
2020,3분기  ,인천  ,455,376,482
2020,3분기  ,부산  ,471,535,390
2020,3분기  ,대구  ,468,480,562
2020,3분기  ,광주  ,422,433,543
2020,3분기  ,대전  ,0,366,0
2020,3분기  ,울산  ,435,511,0
2020,3분기  ,세종  ,0,0,0
2020,3분기  ,강원  ,355,397,278
2020,3분기  ,충북  ,0,0,0
2020,3분기  ,충남  ,283,294,326
2020,3분기  ,전북  ,0,268,0
2020,3분기  ,전남  ,0,293,301
2020,3분기  ,경북  ,300,252,240
2020,3분기  ,경남  ,293,299,296
2020,3분기  ,제주  ,0,568,0
2020,4분기  ,서울  ,714,643,682
2020,4분기  ,경기  ,367,452,491
2020,4분기  ,인천  ,478,492,0
2020,4분기  ,부산  ,439,451,407
2020,4분기  ,대구  ,479,489,369
2020,4분기  ,광주  ,292,318,502
2020,4분기  ,대전  ,374,401,0
2020,4분기  ,울산  ,0,0,0
2020,4분기  ,세종  ,0,0,345
2020,4분기  ,강원  ,0,286,323
2020,4분기  ,충북  ,262,265,277
2020,4분기  ,충남  ,290,297,279
2020,4분기  ,전북  ,251,267,257
2020,4분기  ,전남  ,279,341,342
2020,4분기  ,경북  ,210,313,386
2020,4분기  ,경남  ,271,334,355
2020,4분기  ,제주  ,609,609,0
