연월,지역,청약지역,평균,중위수,최고,최저
2020-02,부산,해당지역,49.52,49,71,30
2020-02,대구,해당지역,66.37,66,79,59
2020-02,인천,해당지역,42.05,41.5,56,24
2020-02,인천,기타지역,50.61,49,69,45
2020-02,경기,해당지역,60.57,62,84,21
2020-02,경기,기타경기,68.48,69,74,46
2020-02,경기,기타지역,67.44,69,79,56
2020-02,충남,해당지역,43.45,44.5,69,22
2020-02,충남,기타지역,64,64,64,64
2020-02,전남,해당지역,43.87,42,56,37
2020-02,경북,해당지역,40.3,40,64,16
2020-02,경북,기타지역,26,26,26,26
2020-02,제주,해당지역,39,39,39,39
2020-02,제주,기타지역,24,24,24,24
2020-03,서울,해당지역,67.84,69,74,62
2020-03,부산,해당지역,68.54,67,78,64
2020-03,대구,해당지역,54.41,54,75,42
2020-03,인천,해당지역,61.91,61,79,46
2020-03,인천,기타지역,63.59,62,82,51
2020-03,경기,해당지역,58.93,60,74,16
2020-03,경기,기타경기,66.15,66,79,61
2020-03,경기,기타지역,60.22,62.5,79,32
2020-03,충북,해당지역,41.97,40,68,31
2020-03,전남,해당지역,55.2,57,77,34
2020-04,서울,해당지역,60.73,64,78,30
2020-04,부산,해당지역,51.21,53,69,20
2020-04,대구,해당지역,53.53,55,69,31
2020-04,인천,해당지역,45.06,43,74,24
2020-04,인천,기타지역,45.08,43,64,32
2020-04,대전,해당지역,51.95,53,69,37
2020-04,경기,해당지역,47.99,50,79,15
2020-04,경기,기타경기,48.94,51,69,28
2020-04,경기,기타지역,43.39,45,69,25
2020-04,충남,해당지역,45.01,46,74,21
2020-04,충남,기타지역,35.9,33,60,26
2020-04,전북,해당지역,61.5,62.5,69,43
2020-04,전남,해당지역,60.38,60,69,53
2020-05,서울,해당지역,59.36,60,84,45
2020-05,부산,해당지역,60.84,63,72,23
2020-05,대구,해당지역,51.55,53,72,22
2020-05,인천,해당지역,55.54,56,79,23
2020-05,인천,기타지역,43.43,42,74,24
2020-05,광주,해당지역,59.21,60,74,32
2020-05,대전,해당지역,55.41,58,79,22
2020-05,울산,해당지역,39.13,38,70,22
2020-05,울산,기타지역,32.52,32,46,27
2020-05,경기,해당지역,54.12,57,78,16
2020-05,경기,기타경기,54.52,57,79,26
2020-05,경기,기타지역,51.84,52,79,24
2020-05,강원,해당지역,51.82,53,71,33
2020-05,전북,해당지역,44.68,49,66,29
2020-05,전남,해당지역,51.98,51,63,37
2020-05,경북,해당지역,43.15,41.5,65,32
2020-05,경남,해당지역,57.01,58,72,25
2020-05,경남,기타지역,34.75,35,42,27
2020-05,제주,해당지역,43,43,43,43
2020-06,서울,해당지역,56.95,57,74,27
2020-06,부산,해당지역,54.25,55,74,23
2020-06,인천,해당지역,53.01,54,74,18
2020-06,인천,기타지역,66.58,67,79,41
2020-06,광주,해당지역,59.21,60,67,54
2020-06,울산,해당지역,57,57,71,48
2020-06,경기,해당지역,49.29,53,79,13
2020-06,경기,기타경기,49.42,50,68,27
2020-06,경기,기타지역,42.44,41,69,22
2020-06,충북,해당지역,49.03,49,66,29
2020-06,충남,해당지역,56.9,56,77,45
2020-06,충남,기타지역,48.28,47,67,41
2020-06,전북,해당지역,42.39,40,66,31
2020-06,경남,해당지역,34.4,31,66,22
2020-07,서울,해당지역,61.72,63,79,48
2020-07,부산,해당지역,54.55,56,76,25
2020-07,대구,해당지역,47.21,50,75,20
