연월,시도,30대 이하,40대,50대,60대 이상
2020-02,서울,392,291,167,112
2020-02,부산,455,150,67,50
2020-02,대구,319,209,88,40
2020-02,인천,680,229,92,50
2020-02,울산,13,4,1,2
2020-02,경기,2256,1296,701,352
2020-02,강원,215,114,77,40
2020-02,충남,306,188,121,67
2020-02,전남,186,153,60,41
2020-02,경북,83,58,28,16
2020-02,제주,81,46,16,6
2020-03,서울,3,42,16,6
2020-03,부산,74,49,17,12
2020-03,대구,566,182,78,56
2020-03,인천,1920,735,365,181
2020-03,경기,859,547,310,145
2020-03,강원,5,0,1,0
2020-03,충북,431,266,283,125
2020-03,전남,781,463,250,107
2020-03,제주,4,1,0,0
2020-04,서울,169,243,99,27
2020-04,부산,566,201,150,105
2020-04,대구,1133,526,221,186
2020-04,인천,394,158,56,22
2020-04,대전,849,298,135,50
2020-04,경기,3129,1327,527,295
2020-04,강원,9,2,1,1
2020-04,충남,402,267,128,95
2020-04,전북,32,13,7,5
2020-04,전남,211,137,65,20
2020-04,경북,6,1,0,0
2020-04,경남,32,28,8,1
2020-05,서울,176,490,204,59
2020-05,부산,580,274,137,86
2020-05,대구,2046,725,363,219
2020-05,인천,3990,1484,874,485
2020-05,광주,725,343,130,75
2020-05,대전,509,243,135,61
2020-05,울산,1640,651,269,126
2020-05,경기,3423,2288,1056,477
2020-05,강원,178,150,74,52
2020-05,충북,2,0,2,2
2020-05,전북,182,101,61,48
2020-05,전남,503,190,99,54
2020-05,경북,84,50,19,13
2020-05,경남,465,185,119,36
2020-05,제주,31,3,3,2
2020-06,서울,669,461,240,177
2020-06,부산,1050,407,292,182
2020-06,대구,203,57,34,26
2020-06,인천,1987,754,454,238
2020-06,광주,225,128,45,30
2020-06,울산,209,49,27,10
2020-06,경기,3162,1700,865,469
2020-06,강원,7,0,1,0
2020-06,충북,282,154,89,37
2020-06,충남,345,292,164,105
2020-06,전북,162,159,49,16
2020-06,전남,47,28,14,7
2020-06,경남,829,634,402,219
2020-06,제주,4,2,0,0
2020-07,서울,771,1729,915,292
2020-07,부산,1157,522,302,166
2020-07,대구,5248,1898,1077,669
2020-07,인천,1337,409,168,103
2020-07,울산,321,87,54,16
2020-07,경기,5312,2441,1193,709
2020-07,강원,770,568,303,142
2020-07,충남,1716,912,425,154
2020-07,전남,467,256,232,44
2020-07,경북,559,362,236,133
2020-07,경남,889,537,375,110
2020-07,제주,21,1,3,0
2020-08,서울,425,657,453,125
2020-08,부산,54,22,7,9
2020-08,대구,894,405,275,132
2020-08,광주,191,55,13,11
2020-08,울산,300,73,24,19
2020-08,경기,4562,1639,696,336
2020-08,강원,77,47,36,16
2020-08,충남,520,283,191,91
2020-08,전남,331,152,91,39
2020-08,경북,73,13,16,4
2020-08,경남,12,9,3,5
2020-09,서울,71,22,5,1
