주택관리번호,공고번호,모델번호,주택형,주택공급면적,일반공급세대수,특별공급세대수,특별공급_다자녀가구세대수,특별공급_신혼부부세대수,특별공급_생애최초세대수,특별공급_노부모부양세대수,특별공급_기관추천세대수,특별공급_기관추천기타세대수,특별공급_이전기관세대수,공급금액_분양최고금액
"2025820017","2025820017","01","055.0000 ","80.4047","0","164",0,0,0,0,0,0,0,"46134"
"2025820015","2025820015","01","055.0000O","84.1172","0","153",0,0,0,0,0,0,0,"38688"
"2025820015","2025820015","02","056.0000O","85.5745","0","59",0,0,0,0,0,0,0,"39358"
"2025820014","2025820014","01","046.0000O","66.4917","0","40",0,0,0,0,0,0,0,"60585"
"2025820014","2025820014","02","055.0000O","79.5513","0","104",0,0,0,0,0,0,0,"72268"
"2025820013","2025820013","01","046.0000O","67.0000","0","38",0,0,0,0,0,0,0,"35276"
"2025820013","2025820013","02","055.0000O","80.0000","0","155",0,0,0,0,0,0,0,"42363"
"2025820012","2025820012","01","046.0000O","68.4098","0","137",0,0,0,0,0,0,0,"41504"
"2025820012","2025820012","02","055.0000O","81.5263","0","324",0,0,0,0,0,0,0,"49636"
"2025820011","2025820011","01","055.0000O","78.4514","0","106",0,0,0,0,0,0,0,"38446"
"2025820010","2025820010","01","059.9500A","83.5178","0","3",0,0,0,0,0,0,0,"61340"
"2025820009","2025820009","01","055.9700B","82.4825","0","1",0,0,0,0,0,0,0,"693790"
"2025820008","2025820008","01","055.9900A","81.0320","0","2",0,0,0,0,0,0,0,"76999"
"2025820007","2025820007","01","055.8200C","79.3384","0","1",0,0,0,0,0,0,0,"43236"
"2025820006","2025820006","01","055.0000S","82.8838","0","77",0,0,0,0,0,0,0,"461940"
"2025820004","2025820004","01","055.0000O","81.5913","0","111",0,0,0,0,0,0,0,"46018"
"2025820003","2025820003","01","046.0000 ","67.6475","0","99",0,0,0,0,0,0,0,"42643"
"2025820003","2025820003","02","055.0000 ","80.5348","0","123",0,0,0,0,0,0,0,"50766"
"2025820002","2025820002","01","046.0000 ","66.8935","0","86",0,0,0,0,0,0,0,"42526"
"2025820002","2025820002","02","055.0000 ","79.6372","0","224",0,0,0,0,0,0,0,"50627"
"2025820001","2025820001","01","055.0000O","80.6409","0","186",0,0,0,0,0,0,0,"55375"
"2025000604","2025000604","01","074.0000O","99.4653","5","20",3,3,4,1,4,0,0,"56871"
"2025000604","2025000604","02","084.0000O","112.6831","17","46",6,6,9,3,9,0,0,"64411"
"2025000596","2025000596","01","055.0000A","80.4867","33","99",13,13,20,7,20,0,0,"30711"
"2025000596","2025000596","02","055.9700B","80.5011","41","123",17,16,24,8,25,0,0,"30705"
"2025000596","2025000596","03","059.0000A","86.2399","75","224",30,30,45,14,46,0,0,"32900"
"2025000596","2025000596","04","059.9700B","86.2543","33","98",13,14,19,7,19,0,0,"32900"
"2025000596","2025000596","05","059.9800C","86.2686","8","23",3,3,5,2,3,0,0,"32905"
"2025000592","2025000592","01","084.0626A","105.2878","68","0",0,0,0,0,0,0,0,"86400"
"2025000592","2025000592","02","084.0501B","105.9843","14","0",0,0,0,0,0,0,0,"86300"
"2025000592","2025000592","03","084.0654C","106.5475","14","0",0,0,0,0,0,0,0,"84600"
"2025000590","2025000590","01","084.9606A","110.1763","46","43",8,17,8,2,8,0,0,"36083"
"2025000590","2025000590","02","084.9094B","111.0785","18","17",3,7,3,1,3,0,0,"36381"
"2025000590","2025000590","03","084.9261C","110.0186","9","5",1,2,1,0,1,0,0,"36032"
"2025000590","2025000590","04","146.9988 ","192.7668","2","0",0,0,0,0,0,0,0,"67350"
"2025000585","2025000585","01","084.9955A","111.6286","25","39",6,14,12,1,6,0,0,"55810"
"2025000585","2025000585","02","084.9697B","111.2341","59","100",15,36,30,4,15,0,0,"56590"
"2025000585","2025000585","03","084.9692C","111.1767","24","38",6,14,11,1,6,0,0,"56190"
"2025000585","2025000585","04","084.9328D","111.7643","20","33",5,12,10,1,5,0,0,"54290"
"2025000585","2025000585","05","097.9655 ","124.9052","70","9",7,0,0,2,0,0,0,"61680"
"2025000585","2025000585","06","097.9655P","124.9052","66","9",7,0,0,2,0,0,0,"64280"
"2025000583","2025000583","01","084.8366A","113.7300","9","0",0,0,0,0,0,0,0,"56200"
"2025000583","2025000583","02","084.8479B","114.3900","5","0",0,0,0,0,0,0,0,"56800"
"2025000583","2025000583","03","084.8344C","114.0900","4","0",0,0,0,0,0,0,0,"54700"
"2025000583","2025000583","04","084.9416D","113.8100","4","0",0,0,0,0,0,0,0,"54200"
"2025000583","2025000583","05","084.6915E","113.9800","4","0",0,0,0,0,0,0,0,"53900"
"2025000583","2025000583","06","084.8216F","108.9300","6","0",0,0,0,0,0,0,0,"54700"
"2025000583","2025000583","07","084.6962G","108.8500","6","0",0,0,0,0,0,0,0,"53800"
"2025000583","2025000583","08","084.5826H","108.8000","6","0",0,0,0,0,0,0,0,"53200"
"2025000583","2025000583","09","084.7298I","107.4200","12","0",0,0,0,0,0,0,0,"56200"
"2025000583","2025000583","10","084.4616J","107.3900","6","0",0,0,0,0,0,0,0,"56200"
"2025000583","2025000583","11","084.7112K","107.7700","6","0",0,0,0,0,0,0,0,"56800"
"2025000583","2025000583","12","084.7112L","107.7900","10","0",0,0,0,0,0,0,0,"56800"
"2025000583","2025000583","13","084.6947M","107.7900","5","0",0,0,0,0,0,0,0,"56700"
"2025000583","2025000583","14","084.8366N","110.2800","6","0",0,0,0,0,0,0,0,"56800"
"2025000583","2025000583","15","084.7112O","110.2500","6","0",0,0,0,0,0,0,0,"56800"
"2025000583","2025000583","16","084.8385P","110.3900","6","0",0,0,0,0,0,0,0,"56800"
"2025000583","2025000583","17","084.8398Q","110.5800","6","0",0,0,0,0,0,0,0,"56500"
"2025000583","2025000583","18","084.2435R","109.5800","6","0",0,0,0,0,0,0,0,"56800"
"2025000580","2025000580","01","059.9836 ","81.5098","25","37",9,14,6,2,6,0,0,"52400"
"2025000580","2025000580","02","084.9688A","114.4677","23","36",9,14,5,2,6,0,0,"69700"
"2025000580","2025000580","03","084.8414B","113.8117","22","35",9,13,5,2,6,0,0,"69700"
"2025000580","2025000580","04","084.8705C","113.8173","13","19",5,7,3,1,3,0,0,"68700"
"2025000579","2025000579","01","084.9279A","110.9233","73","112",28,42,17,6,19,0,0,"69200"
"2025000579","2025000579","02","084.8705B","111.0131","15","23",6,9,3,1,4,0,0,"69200"
"2025000579","2025000579","03","084.8152C","110.8330","11","13",3,5,2,1,2,0,0,"69200"
"2025000579","2025000579","04","102.9967A","134.5268","16","3",3,0,0,0,0,0,0,"83700"
"2025000579","2025000579","05","102.9605B","134.5213","37","7",6,0,0,1,0,0,0,"83700"
"2025000575","2025000575","01","084.7588A","111.9103","331","399",73,167,65,21,73,0,0,"49790"
"2025000575","2025000575","02","084.8689B","112.1823","118","139",25,59,23,7,25,0,0,"48850"
"2025000575","2025000575","03","084.8214C","112.8877","99","116",21,49,19,6,21,0,0,"48760"
"2025000573","2025000573","01","066.9500 ","88.5046","86","111",20,46,19,6,20,0,0,"54000"
"2025000573","2025000573","02","066.9695 ","88.9774","50","68",12,28,12,4,12,0,0,"54300"
"2025000573","2025000573","03","084.9582 ","111.1135","93","119",21,50,20,6,22,0,0,"67800"
"2025000573","2025000573","04","084.7529 ","112.1308","26","37",6,16,6,2,7,0,0,"68500"
"2025000573","2025000573","05","104.7405 ","140.0800","9","1",1,0,0,0,0,0,0,"97400"
"2025000573","2025000573","06","104.9590 ","140.8241","3","0",0,0,0,0,0,0,0,"97900"
"2025000573","2025000573","07","127.4605 ","169.1577","6","1",1,0,0,0,0,0,0,"117600"
"2025000573","2025000573","08","127.7132 ","171.1277","2","0",0,0,0,0,0,0,0,"119000"
"2025000567","2025000567","01","059.9900 ","77.7500","8","6",0,4,2,0,0,0,0,"51000"
"2025000567","2025000567","02","063.9100 ","82.5900","6","10",2,4,3,1,0,0,0,"53600"
"2025000567","2025000567","03","084.9500 ","109.1200","3","3",2,1,0,0,0,0,0,"69300"
"2025000567","2025000567","04","108.6900 ","141.6500","1","0",0,0,0,0,0,0,0,"99900"
"2025000565","2025000565","01","084.8114 ","107.5636","76","133",20,48,39,6,20,0,0,"38460"
"2025000565","2025000565","02","112.3732 ","142.1034","49","6",5,0,0,1,0,0,0,"51011"
"2025000564","2025000564","01","084.9955A","112.7906","145","269",41,95,79,13,41,0,0,"45840"
"2025000564","2025000564","02","084.9695B","113.2141","50","92",14,33,27,4,14,0,0,"45840"
"2025000563","2025000563","01","059.9552A","81.5042","25","9",0,4,3,0,2,0,0,"46100"
"2025000563","2025000563","02","059.9832B","82.4052","8","21",0,10,8,0,3,0,0,"45200"
"2025000563","2025000563","03","074.8763A","101.0989","29","18",0,8,6,0,4,0,0,"57200"
"2025000563","2025000563","04","080.1280A","108.5236","16","10",2,3,3,0,2,0,0,"60500"
"2025000563","2025000563","05","080.2425B","107.5436","4","30",7,10,8,1,4,0,0,"59600"
"2025000563","2025000563","06","084.8262A","114.0849","44","44",5,15,13,2,9,0,0,"65500"
"2025000563","2025000563","07","084.0000B","114.6366","12","91",20,31,25,5,10,0,0,"62800"
"2025000563","2025000563","08","084.8060C","114.0611","25","23",2,8,7,1,5,0,0,"64200"
"2025000563","2025000563","09","084.0000D","116.3534","7","6",1,2,2,0,1,0,0,"62800"
"2025000563","2025000563","10","084.8616T","116.1589","2","0",0,0,0,0,0,0,0,"66750"
"2025000560","2025000560","01","059.9801 ","83.3375","73","84",15,36,14,4,15,0,0,"47770"
"2025000560","2025000560","02","075.9096 ","103.1348","71","82",15,35,13,4,15,0,0,"59980"
"2025000560","2025000560","03","084.9771A","114.8830","258","311",56,130,51,18,56,0,0,"67080"
