주택관리번호,공고번호,주택명,주택구분코드,주택구분코드명,주택상세구분코드,주택상세구분코드명,분양구분코드,분양구분코드명,공급지역코드,공급지역명,공급위치우편번호,공급위치,공급규모,모집공고일,청약접수시작일,청약접수종료일,특별공급접수시작일,특별공급접수종료일,해당지역1순위접수시작일,해당지역1순위접수종료일,경기지역1순위접수시작일,경기지역1순위접수종료일,기타지역1순위접수시작일,기타지역1순위접수종료일,해당지역2순위접수시작일,해당지역2순위접수종료일,경기지역2순위접수시작일,경기지역2순위접수종료일,기타지역2순위접수시작일,기타지역2순위접수종료일,당첨자발표일,계약시작일,계약종료일,홈페이지주소,건설업체명_시공사,문의처,사업주체명_시행사,입주예정월,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구,모집공고홈페이지주소
"2025820017","2025820017","남양주왕숙 A-24블록 신혼희망타운(공공분양)(본청약)","10","신혼희망타운","03","국민","0","분양주택","410","경기","12139","경기도 남양주시 진접읍 진건읍 퇴계원읍 일원 남양주왕숙 공공주택지구 내 A-24블록",390,"2025-11-27","2025-12-08","2025-12-12",,,"2025-12-08","2025-12-09","2025-12-08","2025-12-09","2025-12-08","2025-12-09","2025-12-10","2025-12-12","2025-12-10","2025-12-12","2025-12-10","2025-12-12","2025-12-24","2026-04-06","2026-04-10","https://apply.lh.or.kr","(주)대광건영","1600-1004","한국토지주택공사 경기북부지역본부","2028-12","N","N","Y","N","Y","Y","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025820017&pblancNo=2025820017"
"2025000604","2025000604","남양주왕숙지구 B-17블록 공공분양주택(본청약)","01","APT","03","국민","0","분양주택","410","경기","12073","경기도 남양주시 진접읍 진건읍 퇴계원읍 일원 남양주왕숙 공공주택지구 내 B-17블록",491,"2025-11-27","2025-12-08","2025-12-12",,,"2025-12-08","2025-12-10","2025-12-08","2025-12-10","2025-12-08","2025-12-10","2025-12-11","2025-12-12","2025-12-11","2025-12-12","2025-12-11","2025-12-12","2025-12-23","2026-03-09","2026-03-13","https://apply.lh.or.kr","(주)라인건설","031-573-6424","한국토지주택공사 경기북부지역본부","2028-12","N","N","Y","N","Y","Y","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000604&pblancNo=2025000604"
"2025000592","2025000592","이안 연동스퀘어","01","APT","01","민영","0","분양주택","690","제주","63124","제주특별자치도 제주시 연동 282-4 외 4필지",96,"2025-11-27","2025-12-08","2025-12-09",,,"2025-12-08","2025-12-08",,,"2025-12-08","2025-12-08","2025-12-09","2025-12-09",,,"2025-12-09","2025-12-09","2025-12-15","2025-12-26","2025-12-29","http://www.iaanydsquare.com","성지건설개발주식회사","1551-4459","주식회사 아델","2028-04","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000592&pblancNo=2025000592"
"2025000585","2025000585","인천 검단신도시 AB13블록 호반써밋Ⅲ(본청약)","01","APT","01","민영","0","분양주택","400","인천","22876","인천 검단신도시 AB13블록 (인천광역시 서구 원당동 1063-2 일원)",492,"2025-11-24","2025-12-04","2025-12-08","2025-12-04","2025-12-04","2025-12-05","2025-12-05",,,"2025-12-05","2025-12-05","2025-12-08","2025-12-08",,,"2025-12-08","2025-12-08","2025-12-12","2025-12-23","2025-12-26","https://www.gd3-hoban.co.kr/","(주)호반산업","1670-1331","티에스리빙 주식회사","2026-12","N","N","Y","N","N","Y","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000585&pblancNo=2025000585"
"2025000583","2025000583","영도갤럭시타운 도련2차","01","APT","01","민영","0","분양주택","690","제주","63326","제주특별자치도 제주시 도련일동 2878",113,"2025-11-24","2025-12-04","2025-12-05",,,"2025-12-04","2025-12-04",,,"2025-12-04","2025-12-04","2025-12-05","2025-12-05",,,"2025-12-05","2025-12-05","2025-12-11","2025-12-22","2025-12-24","https://youngdogalaxy.com/","주식회사 영도종합건설","064-746-2411","주식회사 영도갤럭시","2025-12","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000583&pblancNo=2025000583"
"2025000567","2025000567","여월 중앙하이츠 아르비채","01","APT","01","민영","0","분양주택","410","경기","14463","경기도 부천시 오정구 여월동 8-9번지 외 4필지",37,"2025-11-24","2025-12-04","2025-12-08","2025-12-04","2025-12-04","2025-12-05","2025-12-05",,,"2025-12-05","2025-12-05","2025-12-08","2025-12-08",,,"2025-12-08","2025-12-08","2025-12-12","2025-12-23","2025-12-26","http://중앙하이츠아르비채.com","씨에이이앤씨(주)","032-676-2468","여월동 광남복지 가로주택정비사업조합","2026-10","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000567&pblancNo=2025000567"
"2025000596","2025000596","청주지북지구 B1블록 공공분양주택","01","APT","03","국민","0","분양주택","360","충북","28759","충청북도 청주시 상당구 지북동 일원 청주지북 공공지원민간임대주택 공급촉진지구 내 B1블록",757,"2025-11-21","2025-12-01","2025-12-03",,,"2025-12-01","2025-12-02",,,"2025-12-01","2025-12-02","2025-12-03","2025-12-03",,,"2025-12-03","2025-12-03","2025-12-17","2026-02-09","2026-02-11","https://apply.lh.or.kr","DL건설(주)","043-292-2221","한국토지주택공사 충북지역본부","2028-03","N","N","Y","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000596&pblancNo=2025000596"
"2025000590","2025000590","나주영산 윤슬의아침 더정원","01","APT","01","민영","0","분양주택","513","전남","58265","전라남도 나주시 이창동 714 일대",140,"2025-11-21","2025-12-01","2025-12-03","2025-12-01","2025-12-01","2025-12-02","2025-12-02",,,"2025-12-02","2025-12-02","2025-12-03","2025-12-03",,,"2025-12-03","2025-12-03","2025-12-09","2025-12-20","2025-12-22","http://www.윤슬의아침더정원.com/naju","(주)영우종합건설","061-336-3340","영산지역주택조합","2027-05","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000590&pblancNo=2025000590"
"2025000580","2025000580","울산 호수공원 에일린의 뜰 2단지","01","APT","01","민영","0","분양주택","680","울산","44765","울산광역시 남구 야음동 388-7번지 일원",210,"2025-11-21","2025-12-01","2025-12-03","2025-12-01","2025-12-01","2025-12-02","2025-12-02",,,"2025-12-02","2025-12-02","2025-12-03","2025-12-03",,,"2025-12-03","2025-12-03","2025-12-10","2025-12-22","2025-12-24","https://www.울산호수공원-에일린의뜰.com","아이에스동서(주)","052-257-7005","아이에스동서(주)","2028-09","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000580&pblancNo=2025000580"
"2025000579","2025000579","울산 호수공원 에일린의 뜰 1단지","01","APT","01","민영","0","분양주택","680","울산","44768","울산광역시 남구 야음동 389-49번지 일원",310,"2025-11-21","2025-12-01","2025-12-03","2025-12-01","2025-12-01","2025-12-02","2025-12-02",,,"2025-12-02","2025-12-02","2025-12-03","2025-12-03",,,"2025-12-03","2025-12-03","2025-12-09","2025-12-22","2025-12-24","https://www.울산호수공원-에일린의뜰.com","아이에스동서(주)","052-257-7005","아이에스동서(주)","2028-05","N","N","N","N","N","N","N","https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2025000579&pblancNo=2025000579"
